,Feature,Discovery set III,Discovery set II,Discovery set I
41,M_exposed,0.01866681274667671,0.01848380172756314,0.017914946864604923
17,M,0.018084721052843956,0.01755456177597101,0.018009121911481758
47,T_exposed,0.017951092533802886,0.017714452832595942,0.01797924979867972
14,I,0.01785326296681353,0.017713189188764772,0.017175975832921134
36,G_exposed,0.017580721984635787,0.018056442310739634,0.017277529973774616
37,H_exposed,0.017577173930046937,0.017690722545652765,0.017058462556493795
26,Y,0.017558273067102836,0.016848983822036423,0.017223851929389196
43,P_exposed,0.01755284520903943,0.01710485655977278,0.0170486152366377
13,H,0.017494748247793873,0.017148349233893308,0.016995315479127814
9,D,0.017482601852388053,0.01640286717419634,0.016627233441820686
20,Q,0.017469171720415524,0.01733813777052293,0.01748041730107926
23,T,0.017440586708380577,0.017226747496288365,0.01756645360370514
46,S_exposed,0.017431200005223232,0.016729968475236244,0.01706769616695069
24,V,0.017372357033011855,0.01871916336961196,0.017659795720146684
18,N,0.01731387834936348,0.017583775000143402,0.017147525996489183
16,L,0.01730195292854955,0.017094407374034105,0.016726209182592135
31,A_exposed,0.017239366668665414,0.017070586413068526,0.017250202936082287
11,F,0.017173460114517546,0.01708321295083681,0.016452175371551983
8,C,0.017158244770653187,0.01721136032821726,0.0169914051388845
54,Instability_index,0.017145480228461518,0.017294030745314524,0.017125348133649645
42,N_exposed,0.017144005668406275,0.01683431194687171,0.016928242165061363
44,Q_exposed,0.017096871981037747,0.01776958377627926,0.017899433344672783
48,V_exposed,0.017073243475252867,0.017028904027106773,0.016661995126111426
7,A,0.01702384459222051,0.01678471865617859,0.017263224067323543
19,P,0.016971452598376457,0.01642606448531288,0.01646362602258712
12,G,0.016873783096220972,0.01801432724013401,0.016968060567534058
25,W,0.01684967047213654,0.016778656018054772,0.016349852486066917
22,S,0.016832195850682272,0.016727393509792937,0.017109489300833853
21,R,0.016808062317254173,0.016456710081613823,0.01650321617332837
45,R_exposed,0.016704450657299093,0.01689980274976673,0.01723725178727704
33,D_exposed,0.01659063395036289,0.016497506442496528,0.017291782458647886
34,E_exposed,0.016437346630504054,0.01661350958983159,0.01637784731362459
30,disorder,0.016358623679646276,0.015511148050160878,0.015794897068329452
40,L_exposed,0.016245099474687507,0.016627054938066994,0.016294937428955696
53,Aromaticity,0.016124478086315962,0.016218323064175595,0.016059420646433294
57,charge_at_7,0.016078742549680065,0.016225576872247204,0.016325742524304326
4,helix,0.016074085171417278,0.016090356829511647,0.015841930273235078
10,E,0.016005252401108762,0.015899900865854875,0.01594721894399582
58,charge_at_5,0.015906820069721526,0.016032562402150983,0.0162296489713176
39,K_exposed,0.01580285998562174,0.015789422390593714,0.0164901279394104
56,isoelectric_point,0.01572056897963837,0.015903842732040364,0.0161465102919205
15,K,0.015479517813959086,0.015565981279293538,0.016202212907950164
6,sheet,0.015339248260916847,0.014305059398797731,0.0141879521030559
5,turn,0.015305367242501425,0.0156337350858612,0.015780419637739584
73,Polar_exposed,0.015244215970287474,0.01499178005389608,0.015267038652427163
74,Hydrophobic_exposed,0.01514532620434716,0.014908129078083504,0.015146098274694902
29,rhsa_netsurfp2,0.015132800657688971,0.015088299939328979,0.01548737558975577
50,Y_exposed,0.014967797264816132,0.015496168815659305,0.01514387769390296
52,Aggregation_propensity,0.014943055895836048,0.014858971423913897,0.015206922846591166
27,thsa_netsurfp2,0.014852498428554009,0.01494748007970215,0.0152335549217239
2,polar_count,0.014682464759987291,0.014867756721256224,0.015042637120794329
51,Prob. of Solubility,0.014657473762949529,0.01538259813575556,0.015177678505054519
38,I_exposed,0.01454576988030615,0.014434544353633501,0.014924082585076968
55,Gravy,0.014502168555195845,0.014923743007513701,0.01501858263805079
1,hydr_count,0.014473399940054239,0.014629552033064647,0.015025506079143859
35,F_exposed,0.014333497821481328,0.015458497261105195,0.014527179304641235
3,molecular_weight,0.014070583341719504,0.01413505708795442,0.014310984030197205
28,tasa_netsurfp2,0.014038940930751462,0.014034912586631348,0.014713551295579391
0,length,0.013697866038463827,0.013623292905837059,0.013459560576771758
32,C_exposed,0.0119143189536736,0.012060808278763489,0.011930342992728006
49,W_exposed,0.010632989605025943,0.010923324492451892,0.010951776804397125
66,Methylation_MSD,0.0018484581381077575,0.0017915407326153225,0.0018523026478902294
63,SUMOylation_MSD,0.0017612914630111502,0.001705857053608007,0.001779182134140982
65,Palmitoylation_MSD,0.0017598761844468279,0.0016710360146344344,0.001783913172160397
64,Acetylation_MSD,0.0016738195104501273,0.0017457556884957637,0.0016161036289324311
61,Glycosylation_MSD,0.0013200352701606165,0.001464022906177487,0.0013884028356682693
67,coiled_coil,0.0012789061005361701,0.0015184704749453635,0.0014184209642659695
60,Phosphorylation_MSD,0.001198027639857189,0.0011823618808988758,0.0012359160364851453
72,TMHMM,0.0011168979486558797,0.0011521316744585672,0.0010784545411653545
62,Ubiquitination_MSD,0.0009383558955814582,0.0008120868509778626,0.0007637130234340558
59,PTM_MSD,0.0004775445242253389,0.0003972799772950335,0.0004804758586892881
70,EGF,0.0003576588376249796,0.000368467033779099,0.000331255421455097
71,RRM,0.00032118398964038494,0.00025731635550186325,0.00025130059002673747
68,RAS_profile,0.0002184089981830533,0.0003420747078472919,0.00017915400118309388
69,ww_domain,0.0002001903650260183,0.00012261286755956593,0.00014208310719222367
