ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
34,ACADM,42,Microparticles,P11310
38,ACAT1,65,Microparticles,P24752
47,ACLY,185,Microparticles,P53396
50,ACO2,58,Microparticles,Q99798
59,ACTA2,102,Microparticles,P62736
60,ACTB,279,Microparticles,P60709
71,ACTG1,130,Microparticles,P63261
81,ACTN4,203,Microparticles,O43707
87,ACTN1,194,Microparticles,P12814
142,PARP1,76,Microparticles,P09874
162,AP1B1,104,Microparticles,Q10567
164,AP1G1,72,Microparticles,O43747
178,AGL,42,Microparticles,P35573
191,AHCY,203,Microparticles,P23526
204,AK2,77,Microparticles,P54819
213,ALB,225,Microparticles,P02768
226,ALDOA,223,Microparticles,P04075
240,ALOX5,10,Microparticles,P09917
302,ANXA2,276,Microparticles,P07355
307,ANXA4,168,Microparticles,P09525
308,ANXA5,258,Microparticles,P08758
309,ANXA6,228,Microparticles,P08133
311,ANXA11,164,Microparticles,P50995
353,APRT,112,Microparticles,P07741
369,ARAF,8,Microparticles,P10398
373,TRIM23,18,Microparticles,P36406
375,ARF1,173,Microparticles,P84077
378,ARF4,113,Microparticles,P18085
381,ARF5,96,Microparticles,P84085
382,ARF6,127,Microparticles,P62330
387,RHOA,181,Microparticles,P61586
389,RHOC,105,Microparticles,P08134
393,ARHGAP4,7,Microparticles,P98171
396,ARHGDIA,144,Microparticles,P52565
397,ARHGDIB,98,Microparticles,P52566
471,ATIC,125,Microparticles,P31939
476,ATP1A1,218,Microparticles,P05023
523,ATP6V1A,136,Microparticles,P38606
695,BTK,54,Microparticles,Q06187
752,FMNL1,56,Microparticles,O95466
790,CAD,88,Microparticles,P27708
822,CAPG,97,Microparticles,P40121
823,CAPN1,120,Microparticles,P07384
824,CAPN2,79,Microparticles,P17655
829,CAPZA1,166,Microparticles,P52907
832,CAPZB,148,Microparticles,P47756
908,CCT6A,170,Microparticles,P40227
931,MS4A1,22,Microparticles,P11836
