From	Entry
31848	C0HL66
31848	C0HL67
33736	C0HL66
33736	C0HL67
16	P49588
34	P11310
34	A0A0S2Z366
34	B4DJE7
34	B7Z9I1
34	Q5HYG7
34	Q5T4U5
38	P24752
38	A0A140VJX1
38	A0A5F9ZHJ0
47	P53396
47	A0A024R1T9
47	A0A024R1Y2
47	Q4LE36
50	Q99798
50	A0A7I2V586
59	P62736
59	D2JYH4
60	P60709
60	Q1KLZ0
71	P63261
81	O43707
81	A0A0S2Z3G9
81	F5GXS2
81	H7C144
87	P12814
87	A0A024R694
87	A0A7I2V4Y4
142	P09874
142	A0A024R3T8
162	Q10567
164	O43747
164	A0A140VJE7
164	Q8IY97
178	P35573
178	A0A0S2A4E4
191	P23526
191	A0A384MTQ3
191	Q1RMG2
204	P54819
204	A0A140VK93
204	F8VY04
204	F8W1A4
204	G3V213
213	P02768
226	P04075
226	V9HWN7
240	P09917
302	P07355
302	A0A024R5Z7
302	H0YL33
307	P09525
307	Q6P452
308	P08758
308	V9HWE0
309	P08133
309	A0A0S2Z2Z6
311	P50995
311	Q5T0G8
353	P07741
369	P10398
369	A0A024R178
369	Q96II5
373	P36406
375	P84077
375	A0A024R3Q0
378	P18085
381	P84085
381	A4D0Z3
382	P62330
387	P61586
387	A0A024R324
387	A0A7I2YQV1
387	B4DKN9
387	C9JRM1
387	C9JX21
387	Q9BVT0
389	P08134
389	A0A024R0C8
393	P98171
396	P52565
396	J3QQX2
396	V9HWE8
397	P52566
397	A0A024RAS5
471	P31939
471	V9HWH7
476	P05023
498	P25705
498	V9HW26
506	P06576
506	V9HW31
523	P38606
695	Q06187
695	Q5JY90
752	O95466
790	P27708
790	F8VPD4
822	P40121
822	B2R9S4
822	V9HW69
823	P07384
823	B2RDI5
823	B4DWH5
824	P17655
824	B4DN77
824	Q59EF6
829	P52907
832	P47756
832	A0A384MR50
832	B1AK85
832	B1AK88
832	B4DWA6
832	Q7L4N0
833	P49589
833	A0A024RCG3
833	B4DPV7
908	P40227
908	A0A024RDL1
931	P11836
931	A0A024R507
951	P11049
963	P19397
963	B4DQB5
989	Q16181
989	A0A023T695
989	A8K3D0
989	B4DNE4
989	G3V1Q4
1072	P23528
1072	V9HWI5
1192	O00299
1192	Q53FB0
1192	Q5SRT3
1213	Q00610
1213	A0A087WVQ6
1267	P09543
1267	A0A024R1T5
1314	P53621
1315	P53618
1431	O75390
1431	A0A024RB75
1434	P55060
1434	A0A384NKW7
1445	P41240
1445	A8K3B6
1445	B2R6Q4
1459	P19784
1459	H3BNI9
1606	P23743
1606	A0A024RB23
1615	P14868
1615	A0A140VJW5
1639	Q14203
1639	Q6MZZ3
1653	Q92499
1653	A3RJH1
1660	Q08211
1660	B3KU66
1665	O43143
1666	Q16698
1666	A0A024R9D7
1674	P17661
1674	Q53SB5
1729	O60610
1729	A0A2R8Y5N1
1729	Q6URC4
1731	Q8WYJ6
1731	J3KNL2
1778	Q14204
1785	P50570
1785	Q8N1K8
1808	Q16555
1808	A0A1C7CYX9
1808	Q59GB4
1892	P30084
1915	P68104
1915	Q6IPS9
1936	P29692
1936	B2RAR6
1936	D3DWK1
1937	P26641
1937	Q53YD7
1938	P13639
1938	A0A384N6H1
1973	P60842
1992	P30740
1992	V9HWH1
2023	P06733
2023	A0A024R4F1
2035	P11171
2035	A0A2R8Y7Y3
2035	Q1WWM3
2035	Q29RX4
2035	Q59F12
2058	P07814
2108	P13804
2108	A0A0S2Z3L0
2193	Q9Y285
2193	Q6IBR2
2268	P09769
2268	P78453
2288	Q02790
2314	Q13045
2316	P21333
2316	Q60FE5
2316	Q6NXF2
2317	O75369
2318	Q14315
2318	Q59H94
2319	Q14254
2319	A0A024QZ62
2319	J3QLD9
2319	Q6FG43
2319	Q9BTI6
2495	P02794
2495	A0A024R525
2539	P11413
2539	A0A384NL00
2547	P12956
2547	A0A024R1N4
2547	B1AHC9
2547	B4DE32
2547	B4E356
2597	P04406
2597	V9HVZ4
2617	P41250
2617	A0A6Q8PGW4
2618	P22102
2618	Q59HH3
2665	P50395
2665	Q6IAT1
2729	P48506
2729	E1CEI4
2729	Q14TF0
2739	Q04760
2739	X5DNM4
2746	P00367
2746	E9KL48
2747	P49448
2747	A0A140VK14
2771	P04899
2771	B3KP24
2771	B3KX51
2773	P08754
2774	P38405
2774	A8K1Y9
2778	O95467
2778	P63092
2778	P84996
2778	Q5JWF2
2778	A0A0S2Z3H8
2778	A0A0S2Z3S5
2778	A0A590UJF0
2778	A0A7I2V5R6
2778	B0AZR9
2778	Q14455
2778	Q5FWY2
2778	Q5JWD1
2778	Q5JWE9
2782	P62873
2782	A0A140VJJ8
2782	B3KVK2
2806	P00505
2821	P06744
2821	A0A2U3TZU2
2821	B4DE36
2885	P62993
2885	B0LPF3
2936	P00390
2936	V9HW90
2950	P09211
2950	V9HWE9
3012	P04908
3012	Q08AJ9
3013	P20671
3013	B2R5B6
3020	P84243
3020	B2R4P9
3021	P84243
3021	B2R4P9
3030	P40939
3030	E9KL44
3064	P42858
3071	P55160
3105	P04439
3105	B1PKY1
3105	B2R7U3
3105	Q5SUL5
3106	P01889
3106	E5FQ95
3107	P10321
3107	O19617
3107	Q6R739
3107	Q95HC2
3113	P20036
3113	X5CKE2
3119	P01920
3119	Q5SU54
3119	Q5Y7A9
3119	Q5Y7D3
3119	Q5Y7D6
3122	P01903
3122	A0A0G2JMH6
3123	P01911
3123	A0A224MM52
3123	D7RIH8
3123	Q5Y7D1
3123	X5DNQ0
3126	P13762
3126	X5D2U9
3133	P13747
3133	A0A4E9D3W4
3133	A8K8M6
3133	O19682
3178	P09651
3178	A0A024RAZ7
3178	A0A024RB53
3181	P22626
3183	P07910
3184	Q14103
3184	A0A024RDB4
3184	A0A024RDF4
3184	A1LU37
3185	P52597
3185	A0A024R7T3
3187	P31943
3187	A0A384MEJ3
3190	P61978
3190	B4DUQ1
3192	Q00839
3192	Q96BA7
3240	P00738
3240	A0A0C4DGL8
3240	Q6PEJ8
3250	P00739
3263	P02790
3263	Q9BS19
3276	Q99873
3294	P37059
3295	P51659
3295	A0A0S2Z4J1
3295	B2R659
3295	B3KSP2
3303	P0DMV8
3303	P0DMV9
3303	A8K5I0
3303	B3KTT5
3304	P0DMV8
3304	P0DMV9
3304	A8K5I0
3308	P34932
3310	P17066
3310	A0A384NKX5
3310	B3KSM6
3312	P11142
3312	Q53HF2
3312	V9HW22
3313	P38646
3313	A0A384P5G6
3320	P07900
3320	K9JA46
3320	Q86SX1
3326	P08238
3326	A0A024RD80
3326	B4DGL0
3326	Q6PK50
3329	P10809
3329	A0A024R3X4
3376	P41252
3376	Q6P0M4
3376	Q7L4K8
3385	P32942
3385	A0A024R7C1
3385	K7ERN2
3418	P48735
3418	B4DSZ6
3482	P11717
3612	P29218
3612	A0A024R830
3612	A0A140VJL8
3689	P05107
3689	A0A494C0X7
3689	B4E0R1
3712	P26440
3712	A0A0A0MT83
3712	A0A0S2Z4K7
3716	P23458
3716	Q6P669
3799	P33176
3799	Q6P164
3799	V9HW29
3837	Q14974
3837	B7Z752
3843	O00410
3843	B3KWG6
3843	Q9BVS9
3848	P04264
3849	P35908
3852	P13647
3853	P02538
3853	A0A0S2Z428
3857	P35527
3858	P13645
3861	P02533
3895	Q86UP2
3895	A0A024R663
3932	P06239
3932	A0A0S2Z3Y4
