ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
16,AARS,124,P49588
34,ACADM,42,P11310
38,ACAT1,65,P24752
47,ACLY,185,P53396
50,ACO2,58,Q99798
59,ACTA2,102,P62736
60,ACTB,279,P60709
71,ACTG1,130,P63261
81,ACTN4,203,O43707
87,ACTN1,194,P12814
142,PARP1,76,P09874
162,AP1B1,104,Q10567
164,AP1G1,72,O43747
178,AGL,42,P35573
191,AHCY,203,P23526
204,AK2,77,P54819
213,ALB,225,P02768
226,ALDOA,223,P04075
240,ALOX5,10,P09917
302,ANXA2,276,P07355
307,ANXA4,168,P09525
308,ANXA5,258,P08758
309,ANXA6,228,P08133
311,ANXA11,164,P50995
353,APRT,112,P07741
369,ARAF,8,P10398
373,TRIM23,18,P36406
375,ARF1,173,P84077
378,ARF4,113,P18085
381,ARF5,96,P84085
382,ARF6,127,P62330
387,RHOA,181,P61586
389,RHOC,105,P08134
393,ARHGAP4,7,P98171
396,ARHGDIA,144,P52565
397,ARHGDIB,98,P52566
471,ATIC,125,P31939
476,ATP1A1,218,P05023
498,ATP5A1,112,P25705
506,ATP5B,137,P06576
523,ATP6V1A,136,P38606
695,BTK,54,Q06187
752,FMNL1,56,O95466
790,CAD,88,P27708
822,CAPG,97,P40121
823,CAPN1,120,P07384
824,CAPN2,79,P17655
829,CAPZA1,166,P52907
832,CAPZB,148,P47756
833,CARS,61,P49589
908,CCT6A,170,P40227
931,MS4A1,22,P11836
951,CD37,37,P11049
963,CD53,43,P19397
989,SEPT7,96,Q16181
1072,CFL1,225,P23528
1192,CLIC1,213,O00299
1213,CLTC,245,Q00610
1267,CNP,167,P09543
1314,COPA,114,P53621
1315,COPB1,110,P53618
1431,CS,88,O75390
1434,CSE1L,118,P55060
1445,CSK,64,P41240
1459,CSNK2A2,47,P19784
1606,DGKA,25,P23743
1615,DARS,121,P14868
1639,DCTN1,79,Q14203
1653,DDX1,53,Q92499
1660,DHX9,118,Q08211
1665,DHX15,61,O43143
1666,DECR1,42,Q16698
1674,DES,47,P17661
1729,DIAPH1,87,O60610
1731,SEPT1,19,Q8WYJ6
1778,DYNC1H1,152,Q14204
1785,DNM2,88,P50570
1808,DPYSL2,121,Q16555
1892,ECHS1,53,P30084
1915,EEF1A1,235,P68104
1936,EEF1D,113,P29692
1937,EEF1G,165,P26641
1938,EEF2,228,P13639
1973,EIF4A1,173,P60842
1992,SERPINB1,88,P30740
2023,ENO1,261,P06733
2035,EPB41,61,P11171
2058,EPRS,122,P07814
2108,ETFA,65,P13804
2193,FARSA,78,Q9Y285
2268,FGR,22,P09769
2288,FKBP4,103,Q02790
2314,FLII,84,Q13045
2316,FLNA,192,P21333
2317,FLNB,156,O75369
2318,FLNC,96,Q14315
2319,FLOT2,176,Q14254
2495,FTH1,106,P02794
2539,G6PD,138,P11413
2547,XRCC6,125,P12956
2597,GAPDH,268,P04406
2617,GARS,116,P41250
2618,GART,95,P22102
2665,GDI2,182,P50395
2729,GCLC,39,P48506
2739,GLO1,109,Q04760
2746,GLUD1,59,P00367
2747,GLUD2,26,P49448
2771,GNAI2,210,P04899
2773,GNAI3,155,P08754
2774,GNAL,29,P38405
2778,GNAS,186,O95467
2782,GNB1,221,P62873
2806,GOT2,56,P00505
2821,GPI,198,P06744
2885,GRB2,89,P62993
2936,GSR,86,P00390
2950,GSTP1,143,P09211
3012,HIST1H2AE,78,P04908
3013,HIST1H2AD,37,P20671
3020,H3F3A,55,P84243
3021,H3F3B,34,P84243
3030,HADHA,67,P40939
3064,HTT,40,P42858
3071,NCKAP1L,56,P55160
3105,HLA-A,191,P04439
3106,HLA-B,107,P01889
3107,HLA-C,92,P10321
3113,HLA-DPA1,9,P20036
3119,HLA-DQB1,27,P01920
3122,HLA-DRA,93,P01903
3123,HLA-DRB1,131,P01911
3126,HLA-DRB4,42,P13762
3133,HLA-E,59,P13747
3178,HNRNPA1,82,P09651
3181,HNRNPA2B1,98,P22626
3183,HNRNPC,111,P07910
3184,HNRNPD,100,Q14103
3185,HNRNPF,76,P52597
3187,HNRNPH1,85,P31943
3190,HNRNPK,137,P61978
3192,HNRNPU,101,Q00839
3240,HP,97,P00738
3250,HPR,70,P00739
3263,HPX,39,P02790
3276,PRMT1,73,Q99873
3294,HSD17B2,16,P37059
