ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES
16,P49588,AARS,124
34,P11310,ACADM,42
38,P24752,ACAT1,65
47,P53396,ACLY,185
50,Q99798,ACO2,58
59,P62736,ACTA2,102
60,P60709,ACTB,279
71,P63261,ACTG1,130
81,O43707,ACTN4,203
87,P12814,ACTN1,194
142,P09874,PARP1,76
162,Q10567,AP1B1,104
164,O43747,AP1G1,72
178,P35573,AGL,42
191,P23526,AHCY,203
204,P54819,AK2,77
213,P02768,ALB,225
226,P04075,ALDOA,223
240,P09917,ALOX5,10
302,P07355,ANXA2,276
307,P09525,ANXA4,168
308,P08758,ANXA5,258
309,P08133,ANXA6,228
311,P50995,ANXA11,164
353,P07741,APRT,112
369,P10398,ARAF,8
373,P36406,TRIM23,18
375,P84077,ARF1,173
378,P18085,ARF4,113
381,P84085,ARF5,96
382,P62330,ARF6,127
387,P61586,RHOA,181
389,P08134,RHOC,105
393,P98171,ARHGAP4,7
396,P52565,ARHGDIA,144
397,P52566,ARHGDIB,98
471,P31939,ATIC,125
476,P05023,ATP1A1,218
498,P25705,ATP5A1,112
506,P06576,ATP5B,137
523,P38606,ATP6V1A,136
695,Q06187,BTK,54
752,O95466,FMNL1,56
790,P27708,CAD,88
822,P40121,CAPG,97
823,P07384,CAPN1,120
824,P17655,CAPN2,79
829,P52907,CAPZA1,166
832,P47756,CAPZB,148
833,P49589,CARS,61
908,P40227,CCT6A,170
931,P11836,MS4A1,22
951,P11049,CD37,37
963,P19397,CD53,43
989,Q16181,SEPT7,96
1072,P23528,CFL1,225
1192,O00299,CLIC1,213
1213,Q00610,CLTC,245
1267,P09543,CNP,167
1314,P53621,COPA,114
1315,P53618,COPB1,110
1431,O75390,CS,88
1434,P55060,CSE1L,118
1445,P41240,CSK,64
1459,P19784,CSNK2A2,47
1606,P23743,DGKA,25
1615,P14868,DARS,121
1639,Q14203,DCTN1,79
1653,Q92499,DDX1,53
1660,Q08211,DHX9,118
1665,O43143,DHX15,61
1666,Q16698,DECR1,42
1674,P17661,DES,47
1729,O60610,DIAPH1,87
1731,Q8WYJ6,SEPT1,19
1778,Q14204,DYNC1H1,152
1785,P50570,DNM2,88
1808,Q16555,DPYSL2,121
1892,P30084,ECHS1,53
1915,P68104,EEF1A1,235
1936,P29692,EEF1D,113
1937,P26641,EEF1G,165
1938,P13639,EEF2,228
1973,P60842,EIF4A1,173
1992,P30740,SERPINB1,88
2023,P06733,ENO1,261
2035,P11171,EPB41,61
2058,P07814,EPRS,122
2108,P13804,ETFA,65
2193,Q9Y285,FARSA,78
2268,P09769,FGR,22
2288,Q02790,FKBP4,103
2314,Q13045,FLII,84
2316,P21333,FLNA,192
2317,O75369,FLNB,156
2318,Q14315,FLNC,96
2319,Q14254,FLOT2,176
2495,P02794,FTH1,106
2539,P11413,G6PD,138
2547,P12956,XRCC6,125
2597,P04406,GAPDH,268
2617,P41250,GARS,116
2618,P22102,GART,95
2665,P50395,GDI2,182
2729,P48506,GCLC,39
2739,Q04760,GLO1,109
2746,P00367,GLUD1,59
2747,P49448,GLUD2,26
2771,P04899,GNAI2,210
2773,P08754,GNAI3,155
2774,P38405,GNAL,29
2778,O95467,GNAS,186
2778,P63092,GNAS,186
2778,P84996,GNAS,186
2778,Q5JWF2,GNAS,186
2782,P62873,GNB1,221
2806,P00505,GOT2,56
2821,P06744,GPI,198
2885,P62993,GRB2,89
2936,P00390,GSR,86
2950,P09211,GSTP1,143
3013,P20671,HIST1H2AD,37
3030,P40939,HADHA,67
3064,P42858,HTT,40
3071,P55160,NCKAP1L,56
3105,P04439,HLA-A,191
3106,P01889,HLA-B,107
3107,P10321,HLA-C,92
3113,P20036,HLA-DPA1,9
3119,P01920,HLA-DQB1,27
3122,P01903,HLA-DRA,93
3123,P01911,HLA-DRB1,131
3126,P13762,HLA-DRB4,42
3133,P13747,HLA-E,59
3178,P09651,HNRNPA1,82
3181,P22626,HNRNPA2B1,98
3183,P07910,HNRNPC,111
3184,Q14103,HNRNPD,100
3185,P52597,HNRNPF,76
3187,P31943,HNRNPH1,85
3190,P61978,HNRNPK,137
3192,Q00839,HNRNPU,101
3240,P00738,HP,97
3250,P00739,HPR,70
3263,P02790,HPX,39
3276,Q99873,PRMT1,73
3294,P37059,HSD17B2,16
3295,P51659,HSD17B4,75
3308,P34932,HSPA4,152
3310,P17066,HSPA6,86
3312,P11142,HSPA8,286
3313,P38646,HSPA9,100
3320,P07900,HSP90AA1,258
3326,P08238,HSP90AB1,247
3329,P10809,HSPD1,136
3376,P41252,IARS,95
3385,P32942,ICAM3,50
3418,P48735,IDH2,78
3482,P11717,IGF2R,95
3612,P29218,IMPA1,47
3689,P05107,ITGB2,65
3712,P26440,IVD,10
3716,P23458,JAK1,52
3799,P33176,KIF5B,112
3837,Q14974,KPNB1,171
3843,O00410,IPO5,104
3848,P04264,KRT1,217
3849,P35908,KRT2,192
3852,P13647,KRT5,112
3853,P02538,KRT6A,84
3857,P35527,KRT9,197
3858,P13645,KRT10,191
3861,P02533,KRT14,123
3895,Q86UP2,KTN1,54
3932,P06239,LCK,69
3936,P13796,LCP1,145
3939,P00338,LDHA,200
3945,P07195,LDHB,226
4001,P20700,LMNB1,67
4012,Q9UIQ6,LNPEP,83
4048,P09960,LTA4H,84
4067,P07948,LYN,121
4141,P56192,MARS,83
4190,P40925,MDH1,130
4191,P40926,MDH2,102
4218,P61006,RAB8A,160
4478,P26038,MSN,224
4522,P11586,MTHFD1,134
4599,P20591,MX1,44
4627,P35579,MYH9,221
4629,P35749,MYH11,74
4643,Q12965,MYO1E,60
4670,P52272,HNRNPM,84
4735,Q15019,SEPT2,120
4860,P00491,PNP,98
4869,P06748,NPM1,126
4905,P46459,NSF,69
5037,P30086,PEBP1,165
5052,Q06830,PRDX1,220
5106,Q16822,PCK2,49
5175,P16284,PECAM1,92
5211,P17858,PFKL,110
5214,Q01813,PFKP,108
5216,P07737,PFN1,212
5223,P18669,PGAM1,170
5230,P00558,PGK1,245
5295,P27986,PIK3R1,39
5297,P42356,PI4KA,66
5315,P14618,PKM,278
5336,P16885,PLCG2,53
5339,Q15149,PLEC,126
5431,P30876,POLR2B,44
5478,P62937,PPIA,233
5528,Q14738,PPP2R5D,26
5551,P14222,PRF1,27
5566,P17612,PRKACA,74
5579,P05771,PRKCB,42
5591,P78527,PRKDC,107
5631,P60891,PRPS1,69
5683,P25787,PSMA2,136
5685,P25789,PSMA4,128
5687,P60900,PSMA6,141
5688,O14818,PSMA7,155
5689,P20618,PSMB1,131
5690,P49721,PSMB2,105
5692,P28070,PSMB4,110
5694,P28072,PSMB6,127
5698,P28065,PSMB9,63
5708,Q13200,PSMD2,151
5713,P51665,PSMD7,69
5720,Q06323,PSME1,109
5721,Q9UL46,PSME2,101
5725,P26599,PTBP1,71
5777,P29350,PTPN6,70
5788,P08575,PTPRC,84
5795,Q12913,PTPRJ,101
5834,P11216,PYGB,120
5859,P47897,QARS,76
5861,P62820,RAB1A,179
5862,P61019,RAB2A,140
5867,P20338,RAB4A,48
5869,P61020,RAB5B,144
5871,Q12851,MAP4K2,2
5878,P51148,RAB5C,207
5880,P15153,RAC2,117
5898,P11233,RALA,182
5901,P62826,RAN,179
5906,P62834,RAP1A,158
5908,P61224,RAP1B,201
5912,P61225,RAP2B,151
6050,P13489,RNH1,129
6051,Q9H4A4,RNPEP,88
6128,Q02878,RPL6,125
6129,P18124,RPL7,137
6132,P62917,RPL8,110
6133,P32969,RPL9,85
6137,P26373,RPL13,123
6138,P61313,RPL15,123
6139,P18621,RPL17,88
6141,Q07020,RPL18,134
6142,Q02543,RPL18A,91
6143,P84098,RPL19,87
6144,P46778,RPL21,86
6152,P83731,RPL24,98
6154,P61254,RPL26,70
6155,P61353,RPL27,93
6157,P46776,RPL27A,86
6158,P46779,RPL28,83
6161,P62910,RPL32,60
6175,P05388,RPLP0,144
6187,P15880,RPS2,141
6188,P23396,RPS3,163
6189,P61247,RPS3A,138
6191,P62701,RPS4X,134
6193,P46782,RPS5,93
6194,P62753,RPS6,136
6201,P62081,RPS7,103
6202,P62241,RPS8,144
6203,P46781,RPS9,116
6204,P46783,RPS10,92
6207,P62277,RPS13,117
6210,P62244,RPS15A,90
6229,P62847,RPS24,90
6301,P49591,SARS,99
6421,P23246,SFPQ,72
6472,P34897,SHMT2,93
6693,P16150,SPN,50
6709,Q13813,SPTAN1,129
6711,Q01082,SPTBN1,119
6723,P19623,SRM,54
6767,P50502,ST13,117
6810,Q12846,STX4,116
6850,P43405,SYK,40
6897,P26639,TARS,121
6950,P17987,TCP1,184
7001,P32119,PRDX2,181
7018,P02787,TF,116
7094,Q9Y490,TLN1,185
7167,P60174,TPI1,228
7184,P14625,HSP90B1,159
7203,P49368,CCT3,180
7247,Q15631,TSN,59
7277,P68366,TUBA4A,160
7284,P49411,TUFM,77
7317,P22314,UBA1,187
7360,Q16851,UGP2,127
7407,P26640,VARS,99
7408,P50552,VASP,114
7414,P18206,VCL,168
7415,P55072,VCP,210
7416,P21796,VDAC1,95
7430,P15311,EZR,222
7431,P08670,VIM,138
7453,P23381,WARS,120
7520,P13010,XRCC5,136
7529,P31946,YWHAB,209
7534,P63104,YWHAZ,244
7846,Q71U36,TUBA1A,150
7879,P51149,RAB7A,194
8078,P45974,USP5,93
8218,P53675,CLTCL1,66
8239,Q93008,USP9X,82
8331,Q99878,HIST1H2AJ,30
8451,Q13619,CUL4A,58
8508,Q9BPW8,NIPSNAP1,30
8607,Q9Y265,RUVBL1,128
8615,O60763,USO1,66
8661,Q14152,EIF3A,95
8662,P55884,EIF3B,101
8663,Q99613,EIF3C,81
8667,O15372,EIF3H,60
8668,Q13347,EIF3I,90
8766,P62491,RAB11A,113
8801,Q96I99,SUCLG2,45
8826,P46940,IQGAP1,187
8895,O75131,CPNE3,153
9093,Q96EY1,DNAJA3,30
9097,P54578,USP14,95
9230,Q15907,RAB11B,145
9520,P55786,NPEPPS,115
9559,O75436,VPS26A,55
9588,P30041,PRDX6,171
9632,P53992,SEC24C,65
9936,Q8IX05,CD302,1
9948,O75083,WDR1,167
9961,Q14764,MVP,122
10015,Q8WUM4,PDCD6IP,321
10072,Q9NY33,DPP3,76
10093,P59998,ARPC4,139
10094,O15145,ARPC3,112
10095,O15143,ARPC1B,97
10096,P61158,ACTR3,156
10097,P61160,ACTR2,147
10109,O15144,ARPC2,132
10121,P61163,ACTR1A,131
10128,P42704,LRPPRC,64
10168,O14709,ZNF197,3
10211,O75955,FLOT1,219
10236,O43390,HNRNPR,78
10376,P68363,TUBA1B,147
10383,P68371,TUBB4B,178
10399,P63244,GNB2L1,123
10483,Q15437,SEC23B,52
10487,Q01518,CAP1,174
10527,O95373,IPO7,64
10539,O76003,GLRX3,57
10574,Q99832,CCT7,157
10575,P50991,CCT4,172
10576,P78371,CCT2,193
10672,Q14344,GNA13,176
10694,P50990,CCT8,176
10890,P61026,RAB10,204
10971,P27348,YWHAQ,215
11021,Q15286,RAB35,158
11151,P31146,CORO1A,97
22800,P62070,RRAS2,117
22820,Q9Y678,COPG1,94
22931,Q9NP72,RAB18,76
22948,P48643,CCT5,167
23011,Q9UL25,RAB21,106
23157,Q14141,SEPT6,67
23317,O75165,DNAJC13,69
23406,Q14019,COTL1,79
23521,P40429,RPL13A,80
25873,Q9Y3U8,RPL36,71
25934,Q9UFN0,NIPSNAP3A,22
26140,Q9Y4R7,TTLL3,12
26578,Q92882,OSTF1,48
26958,Q9UBF2,COPG2,39
30845,Q9NZN3,EHD3,115
51035,Q04323,UBXN1,29
51552,P61106,RAB14,174
51762,Q92930,RAB8B,154
55577,Q9UJ70,NAGK,75
55619,Q96BY6,DOCK10,59
55737,Q96QK1,VPS35,138
55748,Q96KP4,CNDP2,125
56138,Q9Y5I1,PCDHA11,2
56616,Q9NR28,DIABLO,22
60412,Q96A65,EXOC4,58
79026,Q09666,AHNAK,129
79585,P57737,CORO7,44
81704,Q8NF50,DOCK8,44
81876,Q9H0U4,RAB1B,144
83706,Q86UX7,FERMT3,101
84790,Q9BQE3,TUBA1C,124
84836,Q96IU4,ABHD14B,71
85235,Q96KK5,HIST1H2AH,70
203068,P07437,TUBB,203
221823,P21108,PRPS1L1,13
388697,Q86YZ3,HRNR,63
399687,Q92614,MYO18A,51
653361,P14598,NCF1,18
728689,B5ME19,EIF3CL,24
1,P04217,A1BG,44
12,P01011,SERPINA3,73
48,P21399,ACO1,87
52,P24666,ACP1,75
53,P11117,ACP2,56
55,P15309,ACPP,53
95,Q03154,ACY1,52
107,Q08828,ADCY1,8
128,P11766,ADH5,71
130,P28332,ADH6,27
143,Q9UKK3,PARP4,62
197,P02765,AHSG,110
203,P00568,AK1,78
210,P13716,ALAD,60
214,Q13740,ALCAM,74
216,P00352,ALDH1A1,83
217,P05091,ALDH2,47
221,P43353,ALDH3B1,42
223,P49189,ALDH9A1,101
230,P09972,ALDOC,125
231,P15121,AKR1B1,99
238,Q9UM73,ALK,21
239,P18054,ALOX12,21
249,P05186,ALPL,33
259,P02760,AMBP,42
290,P15144,ANPEP,109
301,P04083,ANXA1,217
306,P12429,ANXA3,113
310,P20073,ANXA7,195
312,P27216,ANXA13,42
316,Q06278,AOX1,35
317,O14727,APAF1,6
325,P02743,APCS,49
335,P02647,APOA1,124
336,P02652,APOA2,35
337,P06727,APOA4,3
347,P05090,APOD,85
348,P02649,APOE,158
357,Q13796,SHROOM2,27
