ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
1,A1BG,3,Exosomes,P04217
2,A2M,33,Exosomes,P01023
213,ALB,27,Exosomes,P02768
325,APCS,3,Exosomes,P02743
335,APOA1,38,Exosomes,P02647
348,APOE,28,Exosomes,P02649
383,ARG1,23,Exosomes,P05089
629,CFB,5,Exosomes,P00751
713,C1QB,3,Exosomes,P02746
714,C1QC,7,Exosomes,P02747
716,C1S,24,Exosomes,P09871
718,C3,38,Exosomes,P01024
847,CAT,30,Exosomes,P04040
922,CD5L,3,Exosomes,O43866
1356,CP,22,Exosomes,P00450
1828,DSG1,29,Exosomes,Q02413
2040,STOM,35,Exosomes,P27105
2171,FABP5,34,Exosomes,Q01469
2243,FGA,27,Exosomes,P02671
2335,FN1,43,Exosomes,P02751
2670,GFAP,15,Exosomes,P14136
2934,GSN,39,Exosomes,P06396
3039,HBA1,35,Exosomes,P69905
3040,HBA2,14,Exosomes,P69905
3043,HBB,30,Exosomes,P68871
3240,HP,32,Exosomes,P00738
3250,HPR,21,Exosomes,P00739
3512,IGJ,29,Exosomes,P01591
3851,KRT4,6,Exosomes,P19013
3853,KRT6A,21,Exosomes,P02538
3855,KRT7,3,Exosomes,P08729
3856,KRT8,8,Exosomes,P05787
3859,KRT12,4,Exosomes,Q99456
3860,KRT13,39,Exosomes,P13646
3861,KRT14,23,Exosomes,P02533
3866,KRT15,6,Exosomes,P19012
3868,KRT16,20,Exosomes,P08779
3872,KRT17,13,Exosomes,Q04695
3880,KRT19,28,Exosomes,P08727
3959,LGALS3BP,29,Exosomes,Q08380
4619,MYH1,2,Exosomes,P12882
4620,MYH2,2,Exosomes,Q9UKX2
4621,MYH3,1,Exosomes,P11055
4622,MYH4,2,Exosomes,Q9Y623
4624,MYH6,1,Exosomes,P13533
4625,MYH7,1,Exosomes,P12883
4626,MYH8,2,Exosomes,P13535
5265,SERPINA1,30,Exosomes,P01009
5284,PIGR,22,Exosomes,P01833
5646,PRSS3,20,Exosomes,P35030
7018,TF,9,Exosomes,P02787
7037,TFRC,56,Exosomes,P02786
7110,TMF1,25,Exosomes,P82094
7408,VASP,24,Exosomes,P50552
8735,MYH13,2,Exosomes,Q9UKX3
9119,KRT75,8,Exosomes,O95678
51350,KRT76,24,Exosomes,Q01546
51806,CALML5,15,Exosomes,Q9NZT1
57619,SHROOM3,24,Exosomes,Q8TF72
79913,ACTR5,1,Exosomes,Q9H9F9
117159,DCD,22,Exosomes,P81605
144501,KRT80,3,Exosomes,Q6KB66
147183,KRT25,3,Exosomes,Q7Z3Z0
162605,KRT28,3,Exosomes,Q7Z3Y7
192666,KRT24,6,Exosomes,Q2M2I5
199953,TMEM201,1,Exosomes,Q5SNT2
284110,GSDMA,1,Exosomes,Q96QA5
286887,KRT6C,5,Exosomes,P48668
338785,KRT79,4,Exosomes,Q5XKE5
342574,KRT27,4,Exosomes,Q7Z3Y8
353288,KRT26,1,Exosomes,Q7Z3Y9
374454,KRT77,7,Exosomes,Q7Z794
388697,HRNR,9,Exosomes,Q86YZ3
100423062,IGLL5,23,Exosomes,B9A064
12,SERPINA3,24,Exosomes,P01011
16,AARS,29,Exosomes,P49588
18,ABAT,1,Exosomes,P80404
47,ACLY,37,Exosomes,P53396
50,ACO2,27,Exosomes,Q99798
60,ACTB,58,Exosomes,P60709
70,ACTC1,34,Exosomes,P68032
81,ACTN4,44,Exosomes,O43707
142,PARP1,30,Exosomes,P09874
143,PARP4,25,Exosomes,Q9UKK3
159,ADSS,23,Exosomes,P30520
162,AP1B1,22,Exosomes,Q10567
163,AP2B1,18,Exosomes,P63010
173,AFM,3,Exosomes,P43652
183,AGT,6,Exosomes,P01019
191,AHCY,36,Exosomes,P23526
197,AHSG,10,Exosomes,P02765
223,ALDH9A1,30,Exosomes,P49189
226,ALDOA,46,Exosomes,P04075
230,ALDOC,29,Exosomes,P09972
231,AKR1B1,30,Exosomes,P15121
240,ALOX5,1,Exosomes,P09917
259,AMBP,4,Exosomes,P02760
301,ANXA1,46,Exosomes,P04083
302,ANXA2,62,Exosomes,P07355
306,ANXA3,21,Exosomes,P12429
307,ANXA4,47,Exosomes,P09525
