ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
1,A1BG,7,Exosomes
12,SERPINA3,12,Exosomes
38,ACAT1,10,Exosomes
47,ACLY,56,Exosomes
48,ACO1,20,Exosomes
52,ACP1,16,Exosomes
53,ACP2,16,Exosomes
55,ACPP,10,Exosomes
87,ACTN1,54,Exosomes
95,ACY1,9,Exosomes
107,ADCY1,6,Exosomes
128,ADH5,16,Exosomes
130,ADH6,2,Exosomes
143,PARP4,16,Exosomes
191,AHCY,68,Exosomes
197,AHSG,43,Exosomes
203,AK1,9,Exosomes
210,ALAD,8,Exosomes
213,ALB,86,Exosomes
214,ALCAM,23,Exosomes
216,ALDH1A1,18,Exosomes
217,ALDH2,9,Exosomes
221,ALDH3B1,10,Exosomes
223,ALDH9A1,19,Exosomes
226,ALDOA,65,Exosomes
230,ALDOC,31,Exosomes
231,AKR1B1,28,Exosomes
238,ALK,2,Exosomes
239,ALOX12,1,Exosomes
249,ALPL,9,Exosomes
259,AMBP,13,Exosomes
290,ANPEP,24,Exosomes
301,ANXA1,83,Exosomes
302,ANXA2,111,Exosomes
306,ANXA3,33,Exosomes
307,ANXA4,49,Exosomes
308,ANXA5,73,Exosomes
309,ANXA6,73,Exosomes
310,ANXA7,50,Exosomes
311,ANXA11,45,Exosomes
312,ANXA13,11,Exosomes
316,AOX1,4,Exosomes
317,APAF1,4,Exosomes
325,APCS,7,Exosomes
335,APOA1,35,Exosomes
336,APOA2,9,Exosomes
337,APOA4,1,Exosomes
347,APOD,16,Exosomes
348,APOE,47,Exosomes
353,APRT,30,Exosomes
357,SHROOM2,2,Exosomes
358,AQP1,7,Exosomes
359,AQP2,15,Exosomes
387,RHOA,50,Exosomes
388,RHOB,16,Exosomes
389,RHOC,21,Exosomes
391,RHOG,36,Exosomes
392,ARHGAP1,8,Exosomes
396,ARHGDIA,42,Exosomes
397,ARHGDIB,19,Exosomes
403,ARL3,13,Exosomes
415,ARSE,1,Exosomes
416,ARSF,6,Exosomes
427,ASAH1,14,Exosomes
435,ASL,7,Exosomes
439,ASNA1,9,Exosomes
445,ASS1,13,Exosomes
471,ATIC,31,Exosomes
481,ATP1B1,45,Exosomes
486,FXYD2,5,Exosomes
498,ATP5A1,24,Exosomes
506,ATP5B,40,Exosomes
523,ATP6V1A,38,Exosomes
525,ATP6V1B1,14,Exosomes
526,ATP6V1B2,19,Exosomes
527,ATP6V0C,4,Exosomes
528,ATP6V1C1,9,Exosomes
529,ATP6V1E1,22,Exosomes
535,ATP6V0A1,12,Exosomes
537,ATP6AP1,9,Exosomes
566,AZU1,2,Exosomes
567,B2M,31,Exosomes
613,BCR,2,Exosomes
633,BGN,7,Exosomes
642,BLMH,16,Exosomes
644,BLVRA,15,Exosomes
645,BLVRB,12,Exosomes
671,BPI,3,Exosomes
684,BST2,23,Exosomes
706,TSPO,1,Exosomes
710,SERPING1,19,Exosomes
726,CAPN5,11,Exosomes
727,C5,22,Exosomes
735,C9,19,Exosomes
754,PTTG1IP,10,Exosomes
760,CA2,15,Exosomes
762,CA4,7,Exosomes
781,CACNA2D1,12,Exosomes
793,CALB1,9,Exosomes
810,CALML3,11,Exosomes
814,CAMK4,4,Exosomes
820,CAMP,1,Exosomes
822,CAPG,21,Exosomes
823,CAPN1,24,Exosomes
824,CAPN2,20,Exosomes
829,CAPZA1,44,Exosomes
830,CAPZA2,27,Exosomes
832,CAPZB,29,Exosomes
873,CBR1,29,Exosomes
908,CCT6A,53,Exosomes
928,CD9,107,Exosomes
929,CD14,7,Exosomes
950,SCARB2,32,Exosomes
966,CD59,37,Exosomes
967,CD63,103,Exosomes
975,CD81,82,Exosomes
983,CDK1,20,Exosomes
998,CDC42,56,Exosomes
1048,CEACAM5,10,Exosomes
1071,CETP,2,Exosomes
1075,CTSC,11,Exosomes
1152,CKB,26,Exosomes
1173,AP2M1,17,Exosomes
1191,CLU,60,Exosomes
1192,CLIC1,66,Exosomes
1200,TPP1,19,Exosomes
1213,CLTC,82,Exosomes
1267,CNP,40,Exosomes
1291,COL6A1,29,Exosomes
1293,COL6A3,14,Exosomes
1306,COL15A1,6,Exosomes
1312,COMT,9,Exosomes
1356,CP,17,Exosomes
1370,CPN2,4,Exosomes
1378,CR1,10,Exosomes
1382,CRABP2,9,Exosomes
1398,CRK,7,Exosomes
1410,CRYAB,6,Exosomes
1428,CRYM,6,Exosomes
1429,CRYZ,21,Exosomes
1434,CSE1L,38,Exosomes
1445,CSK,14,Exosomes
1465,CSRP1,12,Exosomes
1471,CST3,8,Exosomes
1476,CSTB,27,Exosomes
1491,CTH,8,Exosomes
1497,CTNS,2,Exosomes
1509,CTSD,28,Exosomes
1511,CTSG,10,Exosomes
1636,ACE,18,Exosomes
1642,DDB1,17,Exosomes
1644,DDC,5,Exosomes
1652,DDT,9,Exosomes
1654,DDX3X,22,Exosomes
1655,DDX5,15,Exosomes
1675,CFD,3,Exosomes
1769,DNAH8,9,Exosomes
1778,DYNC1H1,44,Exosomes
1785,DNM2,23,Exosomes
1800,DPEP1,14,Exosomes
1803,DPP4,30,Exosomes
1807,DPYS,8,Exosomes
1824,DSC2,3,Exosomes
1830,DSG3,5,Exosomes
1832,DSP,30,Exosomes
1889,ECE1,12,Exosomes
1915,EEF1A1,93,Exosomes
1938,EEF2,73,Exosomes
1947,EFNB1,10,Exosomes
1950,EGF,10,Exosomes
1954,MEGF8,6,Exosomes
1991,ELANE,5,Exosomes
1992,SERPINB1,16,Exosomes
2028,ENPEP,7,Exosomes
2040,STOM,45,Exosomes
2053,EPHX2,5,Exosomes
2059,EPS8,12,Exosomes
2091,FBL,9,Exosomes
2098,ESD,19,Exosomes
2125,EVPL,7,Exosomes
2160,F11,1,Exosomes
2168,FABP1,5,Exosomes
2170,FABP3,7,Exosomes
2182,ACSL4,20,Exosomes
2184,FAH,9,Exosomes
2194,FASN,76,Exosomes
2195,FAT1,13,Exosomes
2202,EFEMP1,9,Exosomes
2203,FBP1,8,Exosomes
2220,FCN2,3,Exosomes
2243,FGA,23,Exosomes
2266,FGG,21,Exosomes
2288,FKBP4,20,Exosomes
2289,FKBP5,6,Exosomes
2316,FLNA,76,Exosomes
2317,FLNB,42,Exosomes
2319,FLOT2,51,Exosomes
2335,FN1,66,Exosomes
2444,FRK,12,Exosomes
2495,FTH1,23,Exosomes
2512,FTL,20,Exosomes
2517,FUCA1,7,Exosomes
2539,G6PD,29,Exosomes
2548,GAA,18,Exosomes
2561,GABRB2,1,Exosomes
2584,GALK1,11,Exosomes
2597,GAPDH,101,Exosomes
2632,GBE1,7,Exosomes
2658,GDF2,1,Exosomes
2665,GDI2,43,Exosomes
2674,GFRA1,1,Exosomes
2683,B4GALT1,13,Exosomes
2712,GK2,3,Exosomes
2720,GLB1,16,Exosomes
2734,GLG1,16,Exosomes
2739,GLO1,26,Exosomes
2752,GLUL,4,Exosomes
2760,GM2A,9,Exosomes
2767,GNA11,24,Exosomes
2770,GNAI1,22,Exosomes
2771,GNAI2,58,Exosomes
2773,GNAI3,41,Exosomes
2776,GNAQ,22,Exosomes
2782,GNB1,60,Exosomes
2787,GNG5,15,Exosomes
2788,GNG7,9,Exosomes
2805,GOT1,26,Exosomes
2810,SFN,43,Exosomes
2819,GPD1,2,Exosomes
2821,GPI,57,Exosomes
2823,GPM6A,5,Exosomes
2875,GPT,4,Exosomes
2879,GPX4,8,Exosomes
2885,GRB2,21,Exosomes
2894,GRID1,3,Exosomes
2934,GSN,54,Exosomes
2936,GSR,19,Exosomes
2937,GSS,11,Exosomes
2938,GSTA1,12,Exosomes
2946,GSTM2,11,Exosomes
2950,GSTP1,43,Exosomes
2990,GUSB,8,Exosomes
3043,HBB,46,Exosomes
3075,CFH,9,Exosomes
3081,HGD,1,Exosomes
3094,HINT1,11,Exosomes
3106,HLA-B,25,Exosomes
3107,HLA-C,27,Exosomes
3122,HLA-DRA,38,Exosomes
3133,HLA-E,22,Exosomes
3176,HNMT,1,Exosomes
3191,HNRNPL,27,Exosomes
3240,HP,18,Exosomes
3242,HPD,2,Exosomes
3248,HPGD,9,Exosomes
3263,HPX,15,Exosomes
3273,HRG,5,Exosomes
3301,DNAJA1,39,Exosomes
3306,HSPA2,43,Exosomes
3309,HSPA5,64,Exosomes
3312,HSPA8,119,Exosomes
3315,HSPB1,53,Exosomes
3329,HSPD1,42,Exosomes
3337,DNAJB1,14,Exosomes
3339,HSPG2,34,Exosomes
3383,ICAM1,34,Exosomes
3417,IDH1,28,Exosomes
3426,CFI,12,Exosomes
3482,IGF2R,27,Exosomes
3483,IGFALS,4,Exosomes
3557,IL1RN,2,Exosomes
3664,IRF6,1,Exosomes
3672,ITGA1,8,Exosomes
3675,ITGA3,38,Exosomes
3685,ITGAV,34,Exosomes
3688,ITGB1,54,Exosomes
3692,EIF6,15,Exosomes
3696,ITGB8,6,Exosomes
3700,ITIH4,20,Exosomes
3728,JUP,33,Exosomes
3795,KHK,3,Exosomes
3801,KIFC3,1,Exosomes
3816,KLK1,3,Exosomes
3827,KNG1,16,Exosomes
3837,KPNB1,57,Exosomes
3911,LAMA5,29,Exosomes
3915,LAMC1,38,Exosomes
3916,LAMP1,32,Exosomes
3920,LAMP2,36,Exosomes
3929,LBP,2,Exosomes
3934,LCN2,4,Exosomes
3936,LCP1,35,Exosomes
3939,LDHA,67,Exosomes
3945,LDHB,65,Exosomes
3958,LGALS3,25,Exosomes
