ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
16,P49588,AARS,31,Exosomes
34,P11310,ACADM,4,Exosomes
38,P24752,ACAT1,10,Exosomes
47,P53396,ACLY,56,Exosomes
50,Q99798,ACO2,5,Exosomes
59,P62736,ACTA2,41,Exosomes
60,P60709,ACTB,111,Exosomes
71,P63261,ACTG1,55,Exosomes
81,O43707,ACTN4,60,Exosomes
87,P12814,ACTN1,54,Exosomes
142,P09874,PARP1,24,Exosomes
162,Q10567,AP1B1,30,Exosomes
164,O43747,AP1G1,16,Exosomes
178,P35573,AGL,11,Exosomes
191,P23526,AHCY,68,Exosomes
204,P54819,AK2,14,Exosomes
213,P02768,ALB,86,Exosomes
226,P04075,ALDOA,65,Exosomes
240,P09917,ALOX5,3,Exosomes
302,P07355,ANXA2,111,Exosomes
307,P09525,ANXA4,49,Exosomes
308,P08758,ANXA5,73,Exosomes
309,P08133,ANXA6,73,Exosomes
311,P50995,ANXA11,45,Exosomes
353,P07741,APRT,30,Exosomes
369,P10398,ARAF,4,Exosomes
373,P36406,TRIM23,1,Exosomes
375,P84077,ARF1,56,Exosomes
378,P18085,ARF4,34,Exosomes
381,P84085,ARF5,32,Exosomes
382,P62330,ARF6,32,Exosomes
387,P61586,RHOA,50,Exosomes
389,P08134,RHOC,21,Exosomes
393,P98171,ARHGAP4,2,Exosomes
396,P52565,ARHGDIA,42,Exosomes
397,P52566,ARHGDIB,19,Exosomes
471,P31939,ATIC,31,Exosomes
476,P05023,ATP1A1,70,Exosomes
498,P25705,ATP5A1,24,Exosomes
506,P06576,ATP5B,40,Exosomes
523,P38606,ATP6V1A,38,Exosomes
695,Q06187,BTK,8,Exosomes
752,O95466,FMNL1,14,Exosomes
790,P27708,CAD,22,Exosomes
822,P40121,CAPG,21,Exosomes
823,P07384,CAPN1,24,Exosomes
824,P17655,CAPN2,20,Exosomes
829,P52907,CAPZA1,44,Exosomes
832,P47756,CAPZB,29,Exosomes
833,P49589,CARS,12,Exosomes
908,P40227,CCT6A,53,Exosomes
931,P11836,MS4A1,10,Exosomes
951,P11049,CD37,12,Exosomes
963,P19397,CD53,11,Exosomes
989,Q16181,SEPT7,22,Exosomes
1072,P23528,CFL1,67,Exosomes
1192,O00299,CLIC1,66,Exosomes
1213,Q00610,CLTC,82,Exosomes
1267,P09543,CNP,40,Exosomes
1314,P53621,COPA,30,Exosomes
1315,P53618,COPB1,24,Exosomes
1431,O75390,CS,20,Exosomes
1434,P55060,CSE1L,38,Exosomes
1445,P41240,CSK,14,Exosomes
1459,P19784,CSNK2A2,16,Exosomes
1606,P23743,DGKA,1,Exosomes
1615,P14868,DARS,25,Exosomes
1639,Q14203,DCTN1,14,Exosomes
1653,Q92499,DDX1,11,Exosomes
1660,Q08211,DHX9,35,Exosomes
1665,O43143,DHX15,16,Exosomes
1666,Q16698,DECR1,5,Exosomes
1674,P17661,DES,8,Exosomes
1729,O60610,DIAPH1,11,Exosomes
1731,Q8WYJ6,SEPT1,2,Exosomes
1778,Q14204,DYNC1H1,44,Exosomes
1785,P50570,DNM2,23,Exosomes
1808,Q16555,DPYSL2,22,Exosomes
1892,P30084,ECHS1,7,Exosomes
1915,P68104,EEF1A1,93,Exosomes
1936,P29692,EEF1D,38,Exosomes
1937,P26641,EEF1G,50,Exosomes
1938,P13639,EEF2,73,Exosomes
1973,P60842,EIF4A1,42,Exosomes
1992,P30740,SERPINB1,16,Exosomes
2023,P06733,ENO1,96,Exosomes
2035,P11171,EPB41,9,Exosomes
2058,P07814,EPRS,31,Exosomes
2108,P13804,ETFA,9,Exosomes
2193,Q9Y285,FARSA,23,Exosomes
2268,P09769,FGR,9,Exosomes
2288,Q02790,FKBP4,20,Exosomes
2314,Q13045,FLII,21,Exosomes
2316,P21333,FLNA,76,Exosomes
2317,O75369,FLNB,42,Exosomes
2318,Q14315,FLNC,24,Exosomes
2319,Q14254,FLOT2,51,Exosomes
2495,P02794,FTH1,23,Exosomes
2539,P11413,G6PD,29,Exosomes
2547,P12956,XRCC6,37,Exosomes
2597,P04406,GAPDH,101,Exosomes
2617,P41250,GARS,33,Exosomes
2618,P22102,GART,22,Exosomes
2665,P50395,GDI2,43,Exosomes
2739,Q04760,GLO1,26,Exosomes
2746,P00367,GLUD1,11,Exosomes
2747,P49448,GLUD2,2,Exosomes
2771,P04899,GNAI2,58,Exosomes
2773,P08754,GNAI3,41,Exosomes
2774,P38405,GNAL,13,Exosomes
2778,O95467,GNAS,54,Exosomes
2778,P63092,GNAS,54,Exosomes
2778,P84996,GNAS,54,Exosomes
2778,Q5JWF2,GNAS,54,Exosomes
2782,P62873,GNB1,60,Exosomes
2806,P00505,GOT2,9,Exosomes
2821,P06744,GPI,57,Exosomes
2885,P62993,GRB2,21,Exosomes
2936,P00390,GSR,19,Exosomes
2950,P09211,GSTP1,43,Exosomes
3013,P20671,HIST1H2AD,18,Exosomes
3030,P40939,HADHA,8,Exosomes
3064,P42858,HTT,7,Exosomes
3071,P55160,NCKAP1L,16,Exosomes
3105,P04439,HLA-A,55,Exosomes
3106,P01889,HLA-B,25,Exosomes
3107,P10321,HLA-C,27,Exosomes
3113,P20036,HLA-DPA1,6,Exosomes
3119,P01920,HLA-DQB1,13,Exosomes
3122,P01903,HLA-DRA,38,Exosomes
3123,P01911,HLA-DRB1,15,Exosomes
3126,P13762,HLA-DRB4,2,Exosomes
3133,P13747,HLA-E,22,Exosomes
3178,P09651,HNRNPA1,24,Exosomes
3181,P22626,HNRNPA2B1,34,Exosomes
3183,P07910,HNRNPC,39,Exosomes
3184,Q14103,HNRNPD,30,Exosomes
3185,P52597,HNRNPF,21,Exosomes
3187,P31943,HNRNPH1,22,Exosomes
3190,P61978,HNRNPK,49,Exosomes
3192,Q00839,HNRNPU,28,Exosomes
3240,P00738,HP,18,Exosomes
3250,P00739,HPR,17,Exosomes
3263,P02790,HPX,15,Exosomes
3276,Q99873,PRMT1,20,Exosomes
3294,P37059,HSD17B2,1,Exosomes
3295,P51659,HSD17B4,11,Exosomes
