ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
31848,His3.3B,1,Microparticles
33736,His3.3A,1,Microparticles
16,AARS,24,Microparticles
34,ACADM,16,Microparticles
38,ACAT1,19,Microparticles
47,ACLY,32,Microparticles
50,ACO2,14,Microparticles
59,ACTA2,24,Microparticles
60,ACTB,52,Microparticles
71,ACTG1,24,Microparticles
81,ACTN4,39,Microparticles
87,ACTN1,41,Microparticles
142,PARP1,14,Microparticles
162,AP1B1,20,Microparticles
164,AP1G1,11,Microparticles
178,AGL,6,Microparticles
191,AHCY,32,Microparticles
204,AK2,20,Microparticles
213,ALB,41,Microparticles
226,ALDOA,36,Microparticles
240,ALOX5,6,Microparticles
302,ANXA2,44,Microparticles
303,ANXA2P1,6,Microparticles
305,ANXA2P3,6,Microparticles
307,ANXA4,31,Microparticles
308,ANXA5,67,Microparticles
309,ANXA6,47,Microparticles
311,ANXA11,27,Microparticles
353,APRT,23,Microparticles
369,ARAF,3,Microparticles
373,TRIM23,1,Microparticles
375,ARF1,39,Microparticles
378,ARF4,21,Microparticles
381,ARF5,11,Microparticles
382,ARF6,21,Microparticles
387,RHOA,37,Microparticles
389,RHOC,18,Microparticles
393,ARHGAP4,5,Microparticles
396,ARHGDIA,24,Microparticles
397,ARHGDIB,31,Microparticles
471,ATIC,20,Microparticles
476,ATP1A1,42,Microparticles
498,ATP5A1,32,Microparticles
506,ATP5B,35,Microparticles
523,ATP6V1A,28,Microparticles
695,BTK,16,Microparticles
752,FMNL1,7,Microparticles
790,CAD,12,Microparticles
822,CAPG,25,Microparticles
823,CAPN1,32,Microparticles
824,CAPN2,22,Microparticles
829,CAPZA1,29,Microparticles
832,CAPZB,30,Microparticles
833,CARS,11,Microparticles
908,CCT6A,25,Microparticles
931,MS4A1,8,Microparticles
951,CD37,5,Microparticles
963,CD53,2,Microparticles
989,SEPT7,17,Microparticles
1072,CFL1,46,Microparticles
1192,CLIC1,43,Microparticles
1213,CLTC,42,Microparticles
1267,CNP,34,Microparticles
1314,COPA,26,Microparticles
1315,COPB1,19,Microparticles
1431,CS,15,Microparticles
1434,CSE1L,16,Microparticles
1445,CSK,16,Microparticles
1459,CSNK2A2,6,Microparticles
1606,DGKA,3,Microparticles
1615,DARS,22,Microparticles
1639,DCTN1,10,Microparticles
1653,DDX1,9,Microparticles
1660,DHX9,15,Microparticles
1665,DHX15,6,Microparticles
1666,DECR1,15,Microparticles
1674,DES,10,Microparticles
1729,DIAPH1,12,Microparticles
1731,SEPT1,1,Microparticles
1778,DYNC1H1,20,Microparticles
1785,DNM2,11,Microparticles
1808,DPYSL2,27,Microparticles
1892,ECHS1,16,Microparticles
1915,EEF1A1,42,Microparticles
1936,EEF1D,11,Microparticles
1937,EEF1G,25,Microparticles
1938,EEF2,33,Microparticles
1973,EIF4A1,27,Microparticles
1992,SERPINB1,23,Microparticles
2023,ENO1,42,Microparticles
2035,EPB41,13,Microparticles
2058,EPRS,16,Microparticles
2108,ETFA,22,Microparticles
2193,FARSA,14,Microparticles
2268,FGR,3,Microparticles
2288,FKBP4,12,Microparticles
2314,FLII,16,Microparticles
2316,FLNA,34,Microparticles
2317,FLNB,23,Microparticles
2318,FLNC,22,Microparticles
2319,FLOT2,32,Microparticles
2495,FTH1,12,Microparticles
2498,FTH1P3,2,Microparticles
2508,FTH1P16,2,Microparticles
2539,G6PD,26,Microparticles
2547,XRCC6,14,Microparticles
2597,GAPDH,46,Microparticles
2617,GARS,29,Microparticles
2618,GART,14,Microparticles
2665,GDI2,29,Microparticles
2729,GCLC,3,Microparticles
2739,GLO1,17,Microparticles
2746,GLUD1,15,Microparticles
2747,GLUD2,1,Microparticles
2771,GNAI2,46,Microparticles
2773,GNAI3,27,Microparticles
2774,GNAL,8,Microparticles
2778,GNAS,34,Microparticles
2782,GNB1,41,Microparticles
2806,GOT2,18,Microparticles
2821,GPI,42,Microparticles
2885,GRB2,16,Microparticles
2936,GSR,16,Microparticles
2950,GSTP1,31,Microparticles
3012,HIST1H2AE,12,Microparticles
3013,HIST1H2AD,6,Microparticles
3020,H3F3A,1,Microparticles
3021,H3F3B,1,Microparticles
3030,HADHA,21,Microparticles
3064,HTT,5,Microparticles
3071,NCKAP1L,14,Microparticles
3105,HLA-A,31,Microparticles
3106,HLA-B,20,Microparticles
3107,HLA-C,7,Microparticles
3113,HLA-DPA1,3,Microparticles
3119,HLA-DQB1,6,Microparticles
3122,HLA-DRA,10,Microparticles
3123,HLA-DRB1,11,Microparticles
3126,HLA-DRB4,4,Microparticles
