ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
16,P49588,AARS,24,Microparticles
34,P11310,ACADM,16,Microparticles
38,P24752,ACAT1,19,Microparticles
47,P53396,ACLY,32,Microparticles
50,Q99798,ACO2,14,Microparticles
59,P62736,ACTA2,24,Microparticles
60,P60709,ACTB,52,Microparticles
71,P63261,ACTG1,24,Microparticles
81,O43707,ACTN4,39,Microparticles
87,P12814,ACTN1,41,Microparticles
142,P09874,PARP1,14,Microparticles
162,Q10567,AP1B1,20,Microparticles
164,O43747,AP1G1,11,Microparticles
178,P35573,AGL,6,Microparticles
191,P23526,AHCY,32,Microparticles
204,P54819,AK2,20,Microparticles
213,P02768,ALB,41,Microparticles
226,P04075,ALDOA,36,Microparticles
240,P09917,ALOX5,6,Microparticles
302,P07355,ANXA2,44,Microparticles
307,P09525,ANXA4,31,Microparticles
308,P08758,ANXA5,67,Microparticles
309,P08133,ANXA6,47,Microparticles
311,P50995,ANXA11,27,Microparticles
353,P07741,APRT,23,Microparticles
369,P10398,ARAF,3,Microparticles
373,P36406,TRIM23,1,Microparticles
375,P84077,ARF1,39,Microparticles
378,P18085,ARF4,21,Microparticles
381,P84085,ARF5,11,Microparticles
382,P62330,ARF6,21,Microparticles
387,P61586,RHOA,37,Microparticles
389,P08134,RHOC,18,Microparticles
393,P98171,ARHGAP4,5,Microparticles
396,P52565,ARHGDIA,24,Microparticles
397,P52566,ARHGDIB,31,Microparticles
471,P31939,ATIC,20,Microparticles
476,P05023,ATP1A1,42,Microparticles
498,P25705,ATP5A1,32,Microparticles
506,P06576,ATP5B,35,Microparticles
523,P38606,ATP6V1A,28,Microparticles
695,Q06187,BTK,16,Microparticles
752,O95466,FMNL1,7,Microparticles
790,P27708,CAD,12,Microparticles
822,P40121,CAPG,25,Microparticles
823,P07384,CAPN1,32,Microparticles
824,P17655,CAPN2,22,Microparticles
829,P52907,CAPZA1,29,Microparticles
832,P47756,CAPZB,30,Microparticles
833,P49589,CARS,11,Microparticles
908,P40227,CCT6A,25,Microparticles
931,P11836,MS4A1,8,Microparticles
951,P11049,CD37,5,Microparticles
963,P19397,CD53,2,Microparticles
989,Q16181,SEPT7,17,Microparticles
1072,P23528,CFL1,46,Microparticles
1192,O00299,CLIC1,43,Microparticles
1213,Q00610,CLTC,42,Microparticles
1267,P09543,CNP,34,Microparticles
1314,P53621,COPA,26,Microparticles
1315,P53618,COPB1,19,Microparticles
1431,O75390,CS,15,Microparticles
1434,P55060,CSE1L,16,Microparticles
1445,P41240,CSK,16,Microparticles
1459,P19784,CSNK2A2,6,Microparticles
1606,P23743,DGKA,3,Microparticles
1615,P14868,DARS,22,Microparticles
1639,Q14203,DCTN1,10,Microparticles
1653,Q92499,DDX1,9,Microparticles
1660,Q08211,DHX9,15,Microparticles
1665,O43143,DHX15,6,Microparticles
1666,Q16698,DECR1,15,Microparticles
1674,P17661,DES,10,Microparticles
1729,O60610,DIAPH1,12,Microparticles
1731,Q8WYJ6,SEPT1,1,Microparticles
1778,Q14204,DYNC1H1,20,Microparticles
1785,P50570,DNM2,11,Microparticles
1808,Q16555,DPYSL2,27,Microparticles
1892,P30084,ECHS1,16,Microparticles
1915,P68104,EEF1A1,42,Microparticles
1936,P29692,EEF1D,11,Microparticles
1937,P26641,EEF1G,25,Microparticles
1938,P13639,EEF2,33,Microparticles
1973,P60842,EIF4A1,27,Microparticles
1992,P30740,SERPINB1,23,Microparticles
2023,P06733,ENO1,42,Microparticles
2035,P11171,EPB41,13,Microparticles
2058,P07814,EPRS,16,Microparticles
2108,P13804,ETFA,22,Microparticles
2193,Q9Y285,FARSA,14,Microparticles
2268,P09769,FGR,3,Microparticles
2288,Q02790,FKBP4,12,Microparticles
2314,Q13045,FLII,16,Microparticles
2316,P21333,FLNA,34,Microparticles
2317,O75369,FLNB,23,Microparticles
2318,Q14315,FLNC,22,Microparticles
2319,Q14254,FLOT2,32,Microparticles
2495,P02794,FTH1,12,Microparticles
2539,P11413,G6PD,26,Microparticles
2547,P12956,XRCC6,14,Microparticles
2597,P04406,GAPDH,46,Microparticles
2617,P41250,GARS,29,Microparticles
2618,P22102,GART,14,Microparticles
2665,P50395,GDI2,29,Microparticles
2729,P48506,GCLC,3,Microparticles
2739,Q04760,GLO1,17,Microparticles
2746,P00367,GLUD1,15,Microparticles
2747,P49448,GLUD2,1,Microparticles
2771,P04899,GNAI2,46,Microparticles
2773,P08754,GNAI3,27,Microparticles
2774,P38405,GNAL,8,Microparticles
2778,O95467,GNAS,34,Microparticles
2778,P63092,GNAS,34,Microparticles
2778,P84996,GNAS,34,Microparticles
2778,Q5JWF2,GNAS,34,Microparticles
