ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
16,AARS,10,Microparticles,P49588
34,ACADM,6,Microparticles,P11310
38,ACAT1,12,Microparticles,P24752
47,ACLY,25,Microparticles,P53396
50,ACO2,8,Microparticles,Q99798
59,ACTA2,18,Microparticles,P62736
60,ACTB,47,Microparticles,P60709
71,ACTG1,14,Microparticles,P63261
81,ACTN4,23,Microparticles,O43707
87,ACTN1,30,Microparticles,P12814
142,PARP1,11,Microparticles,P09874
162,AP1B1,10,Microparticles,Q10567
164,AP1G1,4,Microparticles,O43747
178,AGL,3,Microparticles,P35573
191,AHCY,25,Microparticles,P23526
204,AK2,9,Microparticles,P54819
213,ALB,31,Microparticles,P02768
226,ALDOA,31,Microparticles,P04075
240,ALOX5,5,Microparticles,P09917
302,ANXA2,43,Microparticles,P07355
307,ANXA4,20,Microparticles,P09525
308,ANXA5,51,Microparticles,P08758
309,ANXA6,32,Microparticles,P08133
311,ANXA11,19,Microparticles,P50995
353,APRT,17,Microparticles,P07741
369,ARAF,2,Microparticles,P10398
373,TRIM23,2,Microparticles,P36406
375,ARF1,28,Microparticles,P84077
378,ARF4,16,Microparticles,P18085
381,ARF5,13,Microparticles,P84085
382,ARF6,11,Microparticles,P62330
387,RHOA,32,Microparticles,P61586
389,RHOC,14,Microparticles,P08134
393,ARHGAP4,3,Microparticles,P98171
396,ARHGDIA,14,Microparticles,P52565
397,ARHGDIB,15,Microparticles,P52566
471,ATIC,15,Microparticles,P31939
476,ATP1A1,31,Microparticles,P05023
498,ATP5A1,25,Microparticles,P25705
506,ATP5B,23,Microparticles,P06576
523,ATP6V1A,25,Microparticles,P38606
695,BTK,6,Microparticles,Q06187
752,FMNL1,3,Microparticles,O95466
790,CAD,4,Microparticles,P27708
822,CAPG,16,Microparticles,P40121
823,CAPN1,22,Microparticles,P07384
824,CAPN2,13,Microparticles,P17655
829,CAPZA1,16,Microparticles,P52907
832,CAPZB,20,Microparticles,P47756
833,CARS,2,Microparticles,P49589
908,CCT6A,17,Microparticles,P40227
931,MS4A1,8,Microparticles,P11836
951,CD37,7,Microparticles,P11049
963,CD53,4,Microparticles,P19397
989,SEPT7,6,Microparticles,Q16181
1072,CFL1,37,Microparticles,P23528
1192,CLIC1,31,Microparticles,O00299
1213,CLTC,35,Microparticles,Q00610
1267,CNP,27,Microparticles,P09543
1314,COPA,15,Microparticles,P53621
1315,COPB1,10,Microparticles,P53618
1431,CS,13,Microparticles,O75390
1434,CSE1L,9,Microparticles,P55060
1445,CSK,8,Microparticles,P41240
1459,CSNK2A2,2,Microparticles,P19784
1606,DGKA,4,Microparticles,P23743
1615,DARS,21,Microparticles,P14868
1639,DCTN1,9,Microparticles,Q14203
1653,DDX1,4,Microparticles,Q92499
1660,DHX9,10,Microparticles,Q08211
1665,DHX15,6,Microparticles,O43143
1666,DECR1,8,Microparticles,Q16698
1674,DES,5,Microparticles,P17661
1729,DIAPH1,14,Microparticles,O60610
1731,SEPT1,1,Microparticles,Q8WYJ6
1778,DYNC1H1,10,Microparticles,Q14204
1785,DNM2,9,Microparticles,P50570
1808,DPYSL2,9,Microparticles,Q16555
1892,ECHS1,9,Microparticles,P30084
1915,EEF1A1,40,Microparticles,P68104
1936,EEF1D,9,Microparticles,P29692
1937,EEF1G,8,Microparticles,P26641
1938,EEF2,21,Microparticles,P13639
1973,EIF4A1,18,Microparticles,P60842
1992,SERPINB1,13,Microparticles,P30740
2023,ENO1,39,Microparticles,P06733
2035,EPB41,11,Microparticles,P11171
2058,EPRS,8,Microparticles,P07814
2108,ETFA,14,Microparticles,P13804
2193,FARSA,7,Microparticles,Q9Y285
2268,FGR,1,Microparticles,P09769
2288,FKBP4,4,Microparticles,Q02790
2314,FLII,6,Microparticles,Q13045
2316,FLNA,15,Microparticles,P21333
2317,FLNB,15,Microparticles,O75369
2318,FLNC,7,Microparticles,Q14315
2319,FLOT2,31,Microparticles,Q14254
2495,FTH1,9,Microparticles,P02794
2539,G6PD,16,Microparticles,P11413
2547,XRCC6,8,Microparticles,P12956
2597,GAPDH,43,Microparticles,P04406
2617,GARS,16,Microparticles,P41250
2618,GART,6,Microparticles,P22102
2665,GDI2,28,Microparticles,P50395
2729,GCLC,9,Microparticles,P48506
2739,GLO1,19,Microparticles,Q04760
2746,GLUD1,7,Microparticles,P00367
2747,GLUD2,1,Microparticles,P49448
2771,GNAI2,32,Microparticles,P04899
2773,GNAI3,23,Microparticles,P08754
2774,GNAL,5,Microparticles,P38405
2778,GNAS,26,Microparticles,O95467
2782,GNB1,31,Microparticles,P62873
2806,GOT2,10,Microparticles,P00505
2821,GPI,31,Microparticles,P06744
2885,GRB2,6,Microparticles,P62993
2936,GSR,14,Microparticles,P00390
2950,GSTP1,31,Microparticles,P09211
3012,HIST1H2AE,15,Microparticles,P04908
3013,HIST1H2AD,6,Microparticles,P20671
3020,H3F3A,3,Microparticles,P84243
3021,H3F3B,3,Microparticles,P84243
3030,HADHA,10,Microparticles,P40939
3064,HTT,3,Microparticles,P42858
3071,NCKAP1L,7,Microparticles,P55160
3105,HLA-A,27,Microparticles,P04439
3106,HLA-B,12,Microparticles,P01889
3107,HLA-C,9,Microparticles,P10321
3113,HLA-DPA1,1,Microparticles,P20036
3119,HLA-DQB1,5,Microparticles,P01920
3122,HLA-DRA,23,Microparticles,P01903
3123,HLA-DRB1,9,Microparticles,P01911
3126,HLA-DRB4,2,Microparticles,P13762
3133,HLA-E,18,Microparticles,P13747
3178,HNRNPA1,6,Microparticles,P09651
3181,HNRNPA2B1,10,Microparticles,P22626
3183,HNRNPC,10,Microparticles,P07910
3184,HNRNPD,7,Microparticles,Q14103
3185,HNRNPF,7,Microparticles,P52597
3187,HNRNPH1,10,Microparticles,P31943
3190,HNRNPK,12,Microparticles,P61978
3192,HNRNPU,6,Microparticles,Q00839
3240,HP,17,Microparticles,P00738
3250,HPR,13,Microparticles,P00739
3263,HPX,4,Microparticles,P02790
3276,PRMT1,9,Microparticles,Q99873
3294,HSD17B2,1,Microparticles,P37059
3295,HSD17B4,14,Microparticles,P51659
3303,HSPA1A,32,Microparticles,P0DMV8
3304,HSPA1B,31,Microparticles,P0DMV8
3308,HSPA4,10,Microparticles,P34932
3310,HSPA6,7,Microparticles,P17066
3312,HSPA8,43,Microparticles,P11142
3313,HSPA9,11,Microparticles,P38646
3320,HSP90AA1,39,Microparticles,P07900
3326,HSP90AB1,24,Microparticles,P08238
3329,HSPD1,22,Microparticles,P10809
3376,IARS,11,Microparticles,P41252
3385,ICAM3,9,Microparticles,P32942
3418,IDH2,7,Microparticles,P48735
3482,IGF2R,5,Microparticles,P11717
3612,IMPA1,5,Microparticles,P29218
3689,ITGB2,12,Microparticles,P05107
3712,IVD,2,Microparticles,P26440
3716,JAK1,2,Microparticles,P23458
3799,KIF5B,5,Microparticles,P33176
3837,KPNB1,16,Microparticles,Q14974
3843,IPO5,7,Microparticles,O00410
3848,KRT1,16,Microparticles,P04264
3849,KRT2,12,Microparticles,P35908
3852,KRT5,13,Microparticles,P13647
3853,KRT6A,9,Microparticles,P02538
3857,KRT9,14,Microparticles,P35527
3858,KRT10,19,Microparticles,P13645
3861,KRT14,14,Microparticles,P02533
3895,KTN1,7,Microparticles,Q86UP2
3932,LCK,7,Microparticles,P06239
3936,LCP1,24,Microparticles,P13796
3939,LDHA,34,Microparticles,P00338
3945,LDHB,36,Microparticles,P07195
4001,LMNB1,6,Microparticles,P20700
