ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
16,AARS,52,Microparticles,P49588
34,ACADM,12,Microparticles,P11310
38,ACAT1,28,Microparticles,P24752
47,ACLY,86,Microparticles,P53396
50,ACO2,17,Microparticles,Q99798
59,ACTA2,69,Microparticles,P62736
60,ACTB,148,Microparticles,P60709
71,ACTG1,58,Microparticles,P63261
81,ACTN4,89,Microparticles,O43707
87,ACTN1,95,Microparticles,P12814
142,PARP1,34,Microparticles,P09874
162,AP1B1,50,Microparticles,Q10567
164,AP1G1,25,Microparticles,O43747
178,AGL,12,Microparticles,P35573
191,AHCY,95,Microparticles,P23526
204,AK2,28,Microparticles,P54819
213,ALB,109,Microparticles,P02768
226,ALDOA,96,Microparticles,P04075
240,ALOX5,6,Microparticles,P09917
302,ANXA2,151,Microparticles,P07355
307,ANXA4,78,Microparticles,P09525
308,ANXA5,137,Microparticles,P08758
309,ANXA6,114,Microparticles,P08133
311,ANXA11,78,Microparticles,P50995
353,APRT,50,Microparticles,P07741
369,ARAF,4,Microparticles,P10398
373,TRIM23,2,Microparticles,P36406
375,ARF1,92,Microparticles,P84077
378,ARF4,51,Microparticles,P18085
381,ARF5,40,Microparticles,P84085
382,ARF6,60,Microparticles,P62330
387,RHOA,89,Microparticles,P61586
389,RHOC,45,Microparticles,P08134
393,ARHGAP4,3,Microparticles,P98171
396,ARHGDIA,69,Microparticles,P52565
397,ARHGDIB,42,Microparticles,P52566
471,ATIC,60,Microparticles,P31939
476,ATP1A1,103,Microparticles,P05023
498,ATP5A1,56,Microparticles,P25705
506,ATP5B,71,Microparticles,P06576
523,ATP6V1A,75,Microparticles,P38606
695,BTK,13,Microparticles,Q06187
752,FMNL1,19,Microparticles,O95466
790,CAD,25,Microparticles,P27708
822,CAPG,44,Microparticles,P40121
823,CAPN1,59,Microparticles,P07384
824,CAPN2,34,Microparticles,P17655
829,CAPZA1,70,Microparticles,P52907
832,CAPZB,63,Microparticles,P47756
833,CARS,17,Microparticles,P49589
908,CCT6A,72,Microparticles,P40227
931,MS4A1,18,Microparticles,P11836
951,CD37,13,Microparticles,P11049
963,CD53,12,Microparticles,P19397
989,SEPT7,33,Microparticles,Q16181
1072,CFL1,116,Microparticles,P23528
1192,CLIC1,109,Microparticles,O00299
1213,CLTC,113,Microparticles,Q00610
1267,CNP,75,Microparticles,P09543
1314,COPA,51,Microparticles,P53621
1315,COPB1,35,Microparticles,P53618
1431,CS,35,Microparticles,O75390
1434,CSE1L,46,Microparticles,P55060
1445,CSK,24,Microparticles,P41240
1459,CSNK2A2,19,Microparticles,P19784
1606,DGKA,3,Microparticles,P23743
1615,DARS,40,Microparticles,P14868
1639,DCTN1,19,Microparticles,Q14203
1653,DDX1,11,Microparticles,Q92499
1660,DHX9,39,Microparticles,Q08211
1665,DHX15,15,Microparticles,O43143
1666,DECR1,11,Microparticles,Q16698
1674,DES,10,Microparticles,P17661
1729,DIAPH1,33,Microparticles,O60610
1731,SEPT1,2,Microparticles,Q8WYJ6
1778,DYNC1H1,58,Microparticles,Q14204
1785,DNM2,33,Microparticles,P50570
1808,DPYSL2,43,Microparticles,Q16555
1892,ECHS1,13,Microparticles,P30084
1915,EEF1A1,119,Microparticles,P68104
1936,EEF1D,46,Microparticles,P29692
1937,EEF1G,61,Microparticles,P26641
1938,EEF2,86,Microparticles,P13639
1973,EIF4A1,64,Microparticles,P60842
1992,SERPINB1,41,Microparticles,P30740
2023,ENO1,127,Microparticles,P06733
2035,EPB41,27,Microparticles,P11171
2058,EPRS,32,Microparticles,P07814
2108,ETFA,25,Microparticles,P13804
2193,FARSA,25,Microparticles,Q9Y285
2268,FGR,13,Microparticles,P09769
2288,FKBP4,25,Microparticles,Q02790
2314,FLII,26,Microparticles,Q13045
2316,FLNA,89,Microparticles,P21333
2317,FLNB,55,Microparticles,O75369
2318,FLNC,41,Microparticles,Q14315
2319,FLOT2,81,Microparticles,Q14254
2495,FTH1,31,Microparticles,P02794
2539,G6PD,53,Microparticles,P11413
2547,XRCC6,42,Microparticles,P12956
2597,GAPDH,130,Microparticles,P04406
2617,GARS,51,Microparticles,P41250
2618,GART,32,Microparticles,P22102
2665,GDI2,81,Microparticles,P50395
2729,GCLC,8,Microparticles,P48506
2739,GLO1,57,Microparticles,Q04760
2746,GLUD1,21,Microparticles,P00367
2747,GLUD2,5,Microparticles,P49448
2771,GNAI2,99,Microparticles,P04899
2773,GNAI3,60,Microparticles,P08754
2774,GNAL,20,Microparticles,P38405
2778,GNAS,93,Microparticles,O95467
2782,GNB1,99,Microparticles,P62873
2806,GOT2,23,Microparticles,P00505
2821,GPI,102,Microparticles,P06744
2885,GRB2,36,Microparticles,P62993
2936,GSR,38,Microparticles,P00390
2950,GSTP1,84,Microparticles,P09211
3012,HIST1H2AE,51,Microparticles,P04908
3013,HIST1H2AD,23,Microparticles,P20671
3020,H3F3A,17,Microparticles,P84243
3021,H3F3B,16,Microparticles,P84243
3030,HADHA,20,Microparticles,P40939
3064,HTT,11,Microparticles,P42858
3071,NCKAP1L,21,Microparticles,P55160
3105,HLA-A,83,Microparticles,P04439
3106,HLA-B,42,Microparticles,P01889
3107,HLA-C,33,Microparticles,P10321
3113,HLA-DPA1,2,Microparticles,P20036
3119,HLA-DQB1,14,Microparticles,P01920
3122,HLA-DRA,47,Microparticles,P01903
3123,HLA-DRB1,28,Microparticles,P01911
3126,HLA-DRB4,6,Microparticles,P13762
3133,HLA-E,27,Microparticles,P13747
3178,HNRNPA1,27,Microparticles,P09651
3181,HNRNPA2B1,38,Microparticles,P22626
3183,HNRNPC,38,Microparticles,P07910
3184,HNRNPD,41,Microparticles,Q14103
3185,HNRNPF,26,Microparticles,P52597
3187,HNRNPH1,30,Microparticles,P31943
3190,HNRNPK,59,Microparticles,P61978
3192,HNRNPU,28,Microparticles,Q00839
3240,HP,48,Microparticles,P00738
3250,HPR,34,Microparticles,P00739
3263,HPX,28,Microparticles,P02790
3276,PRMT1,22,Microparticles,Q99873
3294,HSD17B2,3,Microparticles,P37059
3295,HSD17B4,24,Microparticles,P51659
3303,HSPA1A,97,Microparticles,P0DMV8
3304,HSPA1B,86,Microparticles,P0DMV8
3308,HSPA4,55,Microparticles,P34932
3310,HSPA6,33,Microparticles,P17066
3312,HSPA8,152,Microparticles,P11142
3313,HSPA9,37,Microparticles,P38646
3320,HSP90AA1,120,Microparticles,P07900
3326,HSP90AB1,108,Microparticles,P08238
3329,HSPD1,58,Microparticles,P10809
3376,IARS,30,Microparticles,P41252
3385,ICAM3,19,Microparticles,P32942
3418,IDH2,30,Microparticles,P48735
3482,IGF2R,30,Microparticles,P11717
3612,IMPA1,10,Microparticles,P29218
3689,ITGB2,36,Microparticles,P05107
3712,IVD,2,Microparticles,P26440
3716,JAK1,11,Microparticles,P23458
