,0
length,0.010571491384185776
hydr_count,0.012866658058598301
polar_count,0.009580602222674728
molecular_weight,0.010632682699551881
helix,0.01205457863161178
turn,0.025747765242949323
sheet,0.014567269710353445
A,0.010803395329132048
C,0.020582081415253382
D,0.01205853547584326
E,0.010254513573041257
F,0.009845060035690032
G,0.011421165953144262
H,0.01864473667507948
I,0.011696621967230548
K,0.01057887043348973
L,0.012179434953265893
M,0.010683566175571221
N,0.011009198307409549
P,0.012577920596105862
Q,0.009677334466561702
R,0.010343262292673594
S,0.0242605414068037
T,0.010763782019272023
V,0.013104563388319397
W,0.010502266827807274
Y,0.010395674015559478
thsa_netsurfp2,0.011044075061855698
tasa_netsurfp2,0.010450051257669917
rhsa_netsurfp2,0.010401825537846646
disorder,0.019328499731114016
A_exposed,0.010323320461889437
C_exposed,0.015876289550066945
D_exposed,0.014863367597717168
E_exposed,0.011471513235533266
F_exposed,0.008532120634022526
G_exposed,0.01070231791480684
H_exposed,0.012795343466910424
I_exposed,0.008769463393740478
K_exposed,0.011367155571189782
L_exposed,0.01198913440625455
M_exposed,0.010356837723694489
N_exposed,0.011073237091118146
P_exposed,0.0111125961568046
Q_exposed,0.010075451786112334
R_exposed,0.010287534103888477
S_exposed,0.015952786099273187
T_exposed,0.010135986543134823
V_exposed,0.009996238571523656
W_exposed,0.0070821193368462605
Y_exposed,0.008719566364902443
Prob. of Solubility,0.01308540731406693
Aggregation_propensity,0.011440916481929813
Aromaticity,0.009575048246050474
Instability_index,0.02417708827287381
Gravy,0.010200879482845355
isoelectric_point,0.01476907463938609
charge_at_7,0.015941749318605918
charge_at_5,0.012876919002998451
HSP,0.0005012564691588899
PTM_UP,0.027285551147572387
Citrullination_UP,5.4061893569152275e-05
GPI-anchor_UP,0.000260699979974722
Lipoprotein_UP,0.0014866398133107485
Nitration_UP,0.00020633170031555986
Prenylation_UP,0.0002640698856713765
ISGylation_UP,6.858668160012836e-05
NEDDylation_UP,0.00013749837339598295
Acetylation_all,0.034436506307129494
Glycosylation_all,0.004211313534607803
Methylation_all,0.015034247147321454
Myristoylation_all,0.00042374799681006546
Nitrosylation_all,0.014702114338140207
Palmitoylation_all,0.09103982369586765
Phosphorylation_all,0.0032523062176617193
SUMOylation_all,0.0011530926322321797
Ubiquitination_all,0.027488926555745013
PTM_MSD,0.00020085407059769806
Phosphorylation_MSD,0.0008070982154557358
Glycosylation_MSD,0.0009288897479223129
Ubiquitination_MSD,0.0007535090322508264
SUMOylation_MSD,0.0014119016822592618
Acetylation_MSD,0.011206838575526647
Palmitoylation_MSD,0.0011497380812861267
Methylation_MSD,0.0011310334684941346
coiled_coil,0.0016543817357686302
EGF,0.0008485063685362283
RAS_profile,0.00015875849195937336
RRM,0.00026416115018863817
ww_domain,0.00010791865007536281
transmembrane,0.0015258343174862751
TMHMM,0.000974680576300148
Polar_exposed,0.012859181715420337
Hydrophobic_exposed,0.009832452136535892
