EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD
1	6307529	Ovis aries	Fate of the transferrin receptor during maturation of sheep reticulocytes in vitro: selective externalization of the receptor.	Reticulocytes	ts	Reticulocytes	Protein	Antibody based methods	1983	Differential centrifugation|Ultracentrifugation
2	3597417	Ovis aries	Vesicle formation during reticulocyte maturation. Association of plasma membrane activities with released vesicles (exosomes).	Reticulocytes	ts	Reticulocytes	Protein	Enzyme assay|Antibody based methods	1987	Differential centrifugation
3	10545503	Mus musculus	Molecular characterization of dendritic cell-derived exosomes. Selective accumulation of the heat shock protein hsc73.	Dendritic cells	cl	D1	Protein	Mass spectrometry [MALDI TOF]|Western blotting	1999	Differential centrifugation|Sucrose density gradient
4	11487543	Homo sapiens	Intestinal epithelial cells secrete exosome-like vesicles.	Intestinal epithelial cells	cl	HT29-19A|T84-DRB1*0401/CIITA	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2001	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
5	11145662	Mus musculus	Mast cell-dependent B and T lymphocyte activation is mediated by the secretion of immunologically active exosomes.	Mast cells	cl	P815|MC9|Bone marrow-derived mast cells	Protein	Mass spectrometry [MALDI TOF]|ELISA	2001	Differential centrifugation
6	11306949	Mus musculus	Nonspecific B and T cell-stimulatory activity mediated by mast cells is associated with exosomes.	Mast cells	ts	Bone marrow-derived mast cells	Protein	Western blotting	2001	0
7	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Mast cells	ts	Bone marrow-derived mast cells	Protein	Western blotting	2003	Differential centrifugation
8	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	B cells	ts	B Cells	Protein	Western blotting	2003	Differential centrifugation
9	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Macrophages	ts	Macrophages	Protein	Western blotting	2003	Differential centrifugation
10	11390481	Mus musculus	Proteomic analysis of dendritic cell-derived exosomes: a secreted subcellular compartment distinct from apoptotic vesicles.	Dendritic cells	cl	D1	Protein	Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting	2001	Differential centrifugation|Sucrose density gradient
11	12519789	Homo sapiens	Proteomic and biochemical analyses of human B cell-derived exosomes. Potential implications for their function and multivesicular body formation.	B cells	cl	RN (HLA-DR15+)	Protein|Lipids	Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting|Thin layer chromatography|HPLC	2003	Differential centrifugation|Sucrose density gradient
12	15478216	Homo sapiens	Proteomic analysis of melanoma-derived exosomes by two-dimensional polyacrylamide gel electrophoresis and mass spectrometry.	Melanoma cells	cl	MeWo|SK-MEL-28	Protein	Mass spectrometry [4700 Proteomics Analyzer]|Western blotting	2004	Filtration|Ultracentrifugation|Sucrose density gradient
13	15326289	Homo sapiens	Identification and proteomic profiling of exosomes in human urine.	Urine	ts	Urine - Normal	Protein	Mass spectrometry [LCQ DECA XP]|Western blotting	2004	Ultracentrifugation
14	16081791	Mus musculus	Proteomic analysis of microglia-derived exosomes: metabolic role of the aminopeptidase CD13 in neuropeptide catabolism.	Microglia	cl	N9	Protein	Mass spectrometry [LCQ DECA XP]|Western blotting	2005	Differential centrifugation|Sucrose density gradient
15	17486113	Mus musculus|Homo sapiens	Exosome-mediated transfer of mRNAs and microRNAs is a novel mechanism of genetic exchange between cells.	Mast cells	cl|ts	MC9|Bone marrow-derived mast cells|HMC-1	Protein|mRNA|miRNA	Mass spectrometry [MALDI TOF]|Western blotting|Microarray|miRCURY LNA Array	2007	Filtration|Ultracentrifugation|Sucrose density gradient
16	9685355	Homo sapiens	Selective enrichment of tetraspan proteins on the internal vesicles of multivesicular endosomes and on exosomes secreted by human B-lymphocytes.	B cells	cl	RN (HLA-DR15+)	Protein	Western blotting|Immunoelectron Microscopy	1998	Differential centrifugation|Sucrose density gradient
17	11907077	Homo sapiens	TCR activation of human T cells induces the production of exosomes bearing the TCR/CD3/zeta complex.	T cells	cl	Jurkat|T cell blasts|E+ cells|MART-1+ T cell	Protein	Western blotting|Immunoelectron Microscopy	2002	Filtration|Ultracentrifugation
18	11907077	Homo sapiens	TCR activation of human T cells induces the production of exosomes bearing the TCR/CD3/zeta complex.	T cells	cl	Jurkat|T cell blasts	Protein	FACS	2002	Filtration|Ultracentrifugation
19	16302729	Homo sapiens	Purification, characterization and biological significance of tumor-derived exosomes.	Breast cancer cells	cl	BT-474|MDA-MB-231	Protein	Western blotting|FACS	2005	Differential centrifugation|Sucrose density gradient|Filtration|Immunobeads(HER2)
20	17956143	Homo sapiens	Proteomic analysis of microvesicles derived from human colorectal cancer cells.	Colorectal cancer cells	cl	HT29	Protein	Mass spectrometry [LTQ]|Western blotting	2007	Differential centrifugation|Sucrose density gradient|Diafiltration
21	19837982	Homo sapiens	Proteomic and bioinformatic analysis of immunoaffinity-purified exosomes derived from the human colon tumor cell line LIM1215.	Colorectal cancer cells	cl	LIM1215	Protein	Mass spectrometry [Orbitrap]|Western blotting	2009	Filtration|Ultracentrifugation|Sucrose density gradient
22	15940614	Homo sapiens	Human colorectal cancer cells induce T-cell death through release of proapoptotic microvesicles: role in immune escape.	Colorectal cancer cells	cl	SW403|1869col|CRC28462	Protein	Western blotting|Immunoelectron Microscopy|FACS	2005	Differential centrifugation
23	11231627	Mus musculus	Tumor-derived exosomes are a source of shared tumor rejection antigens for CTL cross-priming.	Mammary adenocarcinoma	cl	TS/A (H-2d)|P815 mastocytoma cells (H-2d)	Protein	Western blotting|Immunoelectron Microscopy	2001	Differential centrifugation|Sucrose density gradient
24	11231627	Homo sapiens	Tumor-derived exosomes are a source of shared tumor rejection antigens for CTL cross-priming.	Melanoma cells	cl	Fon|Mel-888	Protein	Western blotting	2001	Differential centrifugation|Sucrose density gradient
25	15111327	Homo sapiens	Proteomic analysis of exosomes secreted by human mesothelioma cells.	Mesothelioma cells	cl	PMR-MM7|PMR-MM8	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation
26	19109410	Mus musculus	Proteomic and immunologic analyses of brain tumor exosomes.	Brain tumor	cl	SMA560vIII	Protein	Mass spectrometry [MALDI TOF/TOF]|Western blotting	2008	Differential centrifugation|Sucrose density gradient
27	19109410	Homo sapiens	Proteomic and immunologic analyses of brain tumor exosomes.	Medulloblastoma	cl	D283MED	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient
28	19109410	Homo sapiens	Proteomic and immunologic analyses of brain tumor exosomes.	Glioma	cl	X43,T|D456MG|H2159MG|D54MG|D247MG	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient
29	19109410	Homo sapiens	Proteomic and immunologic analyses of brain tumor exosomes.	Serum	ts	Serum - Brain tumor	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient
30	16446100	Rattus norvegicus	Exosomes are released by cultured cortical neurones.	Cortical neurones	ts	Neurones	Protein	Mass spectrometry [QTOF]|Western blotting	2006	Differential centrifugation|Sucrose density gradient
31	10572093	Homo sapiens	Activated platelets release two types of membrane vesicles: microvesicles by surface shedding and exosomes derived from exocytosis of multivesicular bodies and alpha-granules.	Platelets	ts	Platelets	Protein	Western blotting|FACS|Immunoelectron Microscopy	1999	Differential centrifugation|Sucrose density gradient
32	18452139	Homo sapiens	Primary human keratinocytes externalize stratifin protein via exosomes.	Keratinocytes	ts	Keratinocytes	Protein	Western blotting	2008	Differential centrifugation|Sucrose density gradient|Diafiltration
33	21136642	Mus musculus	Oligodendrocytes secrete exosomes containing major myelin and stress-protective proteins: Trophic support for axons?	Oligodendrocytes	ts	Oligodendrocytes|Oli-neu	Protein	Mass spectrometry [QTOF]|Western blotting|Immunoelectron Microscopy	2007	Differential centrifugation|Sucrose density gradient
34	19190083	Homo sapiens	Characterization of exosome-like vesicles released from human tracheobronchial ciliated epithelium: a possible role in innate defense.	Tracheobronchial cells	ts	Tracheobronchial epithelial cells	Protein|mRNA	Mass spectrometry [QTOF]|Western blotting|Immunoelectron Microscopy|FACS	2009	Differential centrifugation|Filtration|Sucrose density gradient
35	19367702	Rattus norvegicus	Characterization and Comprehensive Proteome Profiling of Exosomes Secreted by Hepatocytes.	Hepatocytes	ts	Hepatocytes	Protein	Mass spectrometry [QTOF]|Western blotting	2008	Differential centrifugation|Filtration|Sucrose density gradient
36	19367702	Mus musculus	Characterization and Comprehensive Proteome Profiling of Exosomes Secreted by Hepatocytes.	Hepatocytes	cl	MLP-29	Protein	Western blotting	2008	Differential centrifugation|Filtration
37	10878338	Homo sapiens	Direct immunosuppressive effects of EBV-encoded latent membrane protein 1.	B cell lymphoblastoid cells	cl	JY|B95-8	Protein	Western blotting	2000	Differential centrifugation
38	15210972	Oryctolagus cuniculus	Cells release prions in association with exosomes.	Rov epithelial cells	cl	RK13	Protein	Western blotting|Immunoelectron Microscopy	2004	Differential centrifugation|Sucrose density gradient
39	15210972	Mus musculus	Cells release prions in association with exosomes.	Mov neuroglial cell	cl	Mov neuroglial cell	Protein	Mass spectrometry [QSTAR]|Western blotting|Immunoelectron Microscopy	2004	Differential centrifugation|Sucrose density gradient
40	15908444	Homo sapiens	Exosomal-like vesicles are present in human blood plasma.	Plasma	ts	Plasma - Normal	Protein	Western blotting|FACS|Immunoelectron Microscopy	2005	Differential centrifugation|Filtration|Sucrose density gradient
41	15908444	Homo sapiens	Exosomal-like vesicles are present in human blood plasma.	Mast cells	cl	HMC-1	Protein	Western blotting|FACS|Immunoelectron Microscopy	2005	Differential centrifugation|Filtration|Sucrose density gradient
42	15908444	Homo sapiens	Exosomal-like vesicles are present in human blood plasma.	Bone marrow cells	cl	PBMC	Protein	Western blotting	2005	Differential centrifugation|Filtration|Sucrose density gradient
43	17076679	Homo sapiens	Specific isolation of placenta-derived exosomes from the circulation of pregnant women and their immunoregulatory consequences.	Plasma	ts	Plasma - Pregnant and not-pregnant women	Protein	Western blotting	2006	Size exclusion|Ultracentrifugation|Immunobeads (CD3, CD19, CD56, CD83, PLAP)
44	19028452	Homo sapiens	Proteomic profiling of human plasma exosomes identifies PPARgamma as an exosome-associated protein.	Plasma	ts	Plasma	Protein	Mass spectrometry [LTQ]|Western blotting|Immunoelectron Microscopy	2009	Filtration|Size exclusion|Sucrose density gradient
45	18589210	Homo sapiens	MicroRNA signatures of tumor-derived exosomes as diagnostic biomarkers of ovarian cancer.	Serum	ts	Serum - Papillary adenocarcinoma of ovary	Protein|miRNA	Western blotting|467microRNA Array	2008	Ultracentrifugation|Immunobeads (EpCAM)
46	17641064	Homo sapiens	Exosomes with immune modulatory features are present in human breast milk.	Breast milk	ts	Breast milk - colostrum	Protein	Mass spectrometry [QSTAR]|Western blotting|Immunoelectron Microscopy|FACS	2007	Differential centrifugation|Filtration|Sucrose density gradient
