EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
1	6307529	Ovis aries	Fate of the transferrin receptor during maturation of sheep reticulocytes in vitro: selective externalization of the receptor.	Reticulocytes	ts	Reticulocytes	Protein	Antibody based methods	1983	-	Exosomes
2	3597417	Ovis aries	Vesicle formation during reticulocyte maturation. Association of plasma membrane activities with released vesicles (exosomes).	Reticulocytes	ts	Reticulocytes	Protein|Lipids	Enzyme assay|Antibody based methods	1987	Differential centrifugation	Exosomes
3	10545503	Mus musculus	Molecular characterization of dendritic cell-derived exosomes. Selective accumulation of the heat shock protein hsc73.	Dendritic cells	cl	D1	Protein	Mass spectrometry [MALDI TOF]|Western blotting	1999	Differential centrifugation|Sucrose density gradient	Exosomes
4	11487543	Homo sapiens	Intestinal epithelial cells secrete exosome-like vesicles.	Epithelial cells	cl	HT29-19A|T84-DRB1*0401/CIITA (intestinal epithelial cells)	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2001	Differential centrifugation|Sucrose density gradient	Exosomes
5	11145662	Mus musculus	Mast cell-dependent B and T lymphocyte activation is mediated by the secretion of immunologically active exosomes.	Mast cells	cl	P815|MC9|Bone marrow-derived mast cells 	Protein	Mass spectrometry [MALDI TOF]|ELISA	2001	Differential centrifugation	Exosomes
6	11306949	Mus musculus	Nonspecific B and T cell-stimulatory activity mediated by mast cells is associated with exosomes.	Mast cells	ts	Bone marrow-derived mast cells 	Protein	Western blotting	2001	-	Exosomes
7	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Mast cells	ts	Bone marrow-derived mast cells	Protein	Western blotting	2003	Differential centrifugation	Exosomes
8	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	B cells	ts	B cells	Protein	Western blotting	2003	Differential centrifugation	Exosomes
9	12626558	Mus musculus	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Macrophages	ts	Macrophages	Protein	Western blotting	2003	Differential centrifugation	Exosomes
10	11390481	Mus musculus	Proteomic analysis of dendritic cell-derived exosomes: a secreted subcellular compartment distinct from apoptotic vesicles.	Dendritic cells	cl	D1	Protein	Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting	2001	Differential centrifugation|Sucrose density gradient	Exosomes
