ID,PTM_count,Phosphorylation_MSD,Glycosylation_MSD,Ubiquitination_MSD,SUMOylation_MSD,Acetyllysine_MSD,Palmitoylation_MSD,Hydroxylation_MSD,Methylation_MSD,Pyrrolidone_carboxylic_acid_MSD
Q96R72,5,1,1,0,0,0,0,0,0,1
Q9UKL2,3,0,1,0,1,0,1,0,0,0
Q9H205,2,0,1,0,0,0,0,0,0,0
Q8NGN2,5,1,1,0,0,0,1,0,0,1
Q8NGC1,1,0,1,0,0,0,0,0,0,0
O60502,11,1,1,0,1,0,0,0,1,0
Q8NGX2,1,0,1,0,0,0,0,0,0,0
A6NGY5,1,0,1,0,0,0,0,0,0,0
Q8NGE3,2,1,1,0,0,0,0,0,0,0
Q6IF63,2,1,1,0,0,0,0,0,0,0
Q9BXB4,15,1,1,0,0,0,0,0,1,1
Q9UJX0,5,1,0,0,0,0,0,0,0,0
Q6A1A2,11,1,1,0,1,1,0,0,0,0
Q96S52,6,1,1,0,1,0,0,0,0,1
P13686,2,0,1,0,0,0,0,0,0,0
P17980,6,1,1,1,0,0,0,0,0,0
Q5THK1,53,1,1,0,1,0,0,0,0,1
P0CG20,22,1,1,0,1,0,1,1,0,0
Q9ULL5,119,1,1,1,1,0,0,1,1,0
Q6NWY9,34,1,1,0,1,1,0,1,1,1
Q5TYX0,6,1,1,0,0,0,1,0,0,0
Q5VTA0,6,1,1,0,0,0,0,1,0,1
Q00LT1,5,1,0,0,0,0,1,0,0,0
Q9UMR5,6,0,1,0,0,0,1,0,0,0
P0DJ07,1,0,0,0,1,0,0,0,0,0
Q8WV60,7,1,1,0,1,1,0,0,0,0
Q96EY7,2,1,1,0,0,0,0,0,0,0
Q7RTS3,19,1,0,0,0,0,0,1,1,0
P20962,7,1,0,0,0,1,0,0,0,0
Q92530,12,1,1,0,0,0,0,1,1,1
Q6ZRP7,14,1,1,0,0,0,0,0,1,0
Q8TBF2,3,1,1,0,0,0,0,0,0,0
Q86YV0,29,1,1,0,0,0,0,0,0,0
Q8NFJ5,9,1,1,0,1,0,1,0,0,1
Q14206,8,1,1,0,0,0,0,1,0,0
Q9Y2P8,6,1,1,0,0,1,0,0,0,0
P61106,4,0,1,0,0,0,0,1,1,0
O95716,6,1,1,0,0,0,0,1,0,0
Q8N4Z0,2,1,0,0,1,0,0,0,0,0
P49795,17,1,0,0,0,0,1,1,0,0
Q7L0Q8,10,1,1,0,0,0,1,0,1,1
Q9BQ08,5,1,0,0,0,0,1,1,0,1
Q9HB40,3,0,1,0,0,0,0,0,0,0
Q8NHV9,1,1,0,0,0,0,0,0,0,0
P07949,37,1,1,0,0,1,1,0,0,0
Q8TAC1,3,1,0,0,0,0,0,0,0,1
Q9UJD0,14,1,1,0,0,0,0,1,0,0
P50914,6,1,0,0,1,1,0,0,0,0
Q969Q0,4,1,0,0,0,0,1,1,1,0
Q9NSD7,3,0,1,0,1,0,0,0,0,0
Q9HCK4,32,1,1,0,1,0,0,0,1,1
Q9H1D9,4,1,1,0,1,0,0,0,0,0
P35372,11,1,1,0,0,0,1,0,0,0
O14581,3,0,1,0,0,0,0,0,0,0
Q99489,4,1,1,0,1,0,0,0,0,0
Q8NGM8,2,0,1,0,0,0,0,0,0,0
Q9GZK6,1,0,1,0,0,0,0,0,0,0
Q149M9,14,1,1,0,1,0,1,0,1,1
Q8NGE7,3,0,1,0,0,0,0,0,1,0
Q6N063,3,0,0,0,0,0,0,1,1,1
O95158,7,1,1,0,0,0,0,1,0,1
Q8NGL6,4,1,1,0,0,0,0,0,0,0
Q8NGC8,2,0,1,0,0,0,1,0,0,0
Q06190,31,1,1,0,1,0,0,0,0,0
A6NJZ3,2,0,1,0,0,0,0,0,0,0
Q3SX64,25,1,1,0,0,0,1,1,1,0
P00480,15,1,1,0,0,1,0,0,0,0
Q9NVV4,14,1,1,0,0,0,1,0,0,0
Q9NPH6,4,1,0,0,0,1,0,0,0,0
Q8NDF8,14,1,1,0,0,1,1,1,1,0
P0DN37,8,1,1,1,0,1,0,0,0,0
O15381,21,1,1,0,1,1,0,0,1,0
A8MZH6,2,0,0,0,0,0,1,0,0,0
Q8NGH7,1,0,1,0,0,0,0,0,0,0
O95340,7,1,1,0,0,0,0,0,1,0
Q6ZVX9,3,0,1,0,0,0,0,0,1,0
P57723,7,1,1,0,0,0,0,0,0,0
Q8TEZ7,1,1,0,0,0,0,0,0,0,0
Q460N5,33,1,1,0,1,1,0,0,0,0
Q96QU1,78,1,1,0,1,1,0,1,0,1
Q6P474,4,1,0,0,0,0,0,0,0,0
P13667,8,1,0,0,1,1,0,0,0,0
P09466,3,0,1,0,0,0,0,0,0,0
Q13087,12,1,1,0,1,0,1,0,0,1
Q15084,3,1,0,0,0,0,0,0,1,0
Q53GL7,20,1,1,0,0,1,0,0,1,0
Q5MIZ7,20,1,1,0,1,0,0,1,0,0
A4QPH2,9,1,1,0,0,0,0,0,1,0
Q92561,5,1,1,0,0,0,0,1,1,0
Q8IYJ0,12,1,1,0,0,0,1,0,1,1
Q8WWW0,5,1,1,0,0,0,0,0,0,1
Q06609,4,1,0,1,0,0,0,0,0,0
O75452,3,1,1,0,0,1,0,0,0,0
Q9UBK7,6,1,1,0,0,0,0,0,0,0
Q9UKM9,16,1,1,0,1,1,0,0,1,0
A0AV96,11,1,1,0,0,0,0,1,1,0
P46060,11,1,1,0,1,0,0,0,0,0
Q96IS3,3,1,1,0,0,0,0,0,0,0
P61572,2,0,1,0,1,0,0,0,0,0
Q9BRK0,8,1,0,0,0,0,0,0,0,0
A1A4S6,13,1,1,0,1,1,0,0,0,1
P61020,4,1,1,0,1,0,0,0,0,0
Q6ZS17,57,1,1,0,0,0,0,1,0,0
P15927,4,1,0,1,0,0,0,0,0,0
P62888,2,1,0,0,0,1,0,0,0,0
Q9P015,3,1,0,0,0,1,0,0,1,0
Q9HAT0,3,0,1,0,0,0,0,0,0,1
Q9Y6N7,44,1,1,0,1,0,0,0,1,1
Q13151,17,1,0,1,0,0,0,0,1,0
P60602,2,0,0,0,0,0,1,1,0,0
Q13464,21,1,1,0,1,0,0,0,1,0
Q3B726,13,1,1,0,0,0,1,0,0,0
Q9NV58,24,1,1,0,0,0,0,0,0,0
P78346,2,1,0,0,1,0,0,0,0,0
Q9BUL9,10,1,1,0,0,0,0,1,0,1
Q8N6L0,11,1,1,0,0,0,0,0,0,1
Q8IUC0,4,0,1,0,0,0,1,1,0,0
