id,A_exposed,C_exposed,D_exposed,E_exposed,F_exposed,G_exposed,H_exposed,I_exposed,K_exposed,L_exposed,M_exposed,N_exposed,P_exposed,Q_exposed,R_exposed,S_exposed,T_exposed,V_exposed,W_exposed,Y_exposed
A0A024RBG1,4.0,1.0,7.0,14.0,2.0,4.0,1.0,0.0,9.0,4.0,2.0,7.0,8.0,5.0,7.0,7.0,6.0,4.0,0.0,2.0
A0A075B6H7,5.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,7.0,1.0,1.0,9.0,4.0,5.0,14.0,7.0,1.0,1.0,1.0
A0A075B6H8,1.0,0.0,5.0,2.0,2.0,7.0,1.0,2.0,5.0,6.0,2.0,0.0,7.0,3.0,4.0,14.0,2.0,2.0,1.0,1.0
A0A075B6H9,2.0,1.0,3.0,3.0,1.0,9.0,3.0,1.0,3.0,8.0,1.0,0.0,4.0,3.0,1.0,20.0,5.0,1.0,2.0,0.0
A0A075B6I0,4.0,0.0,3.0,1.0,0.0,11.0,0.0,1.0,0.0,6.0,5.0,2.0,5.0,3.0,2.0,16.0,9.0,4.0,1.0,2.0
A0A075B6I1,3.0,0.0,2.0,2.0,2.0,8.0,2.0,0.0,3.0,9.0,1.0,3.0,4.0,3.0,1.0,21.0,6.0,1.0,2.0,1.0
A0A075B6I3,2.0,1.0,3.0,3.0,0.0,7.0,1.0,0.0,4.0,9.0,1.0,2.0,9.0,2.0,3.0,19.0,6.0,1.0,0.0,1.0
A0A075B6I4,4.0,0.0,1.0,2.0,0.0,6.0,3.0,0.0,1.0,9.0,1.0,7.0,6.0,5.0,3.0,13.0,6.0,3.0,1.0,0.0
A0A075B6I6,7.0,1.0,2.0,1.0,0.0,7.0,1.0,0.0,2.0,8.0,1.0,4.0,6.0,4.0,2.0,16.0,8.0,1.0,3.0,0.0
A0A075B6I7,2.0,1.0,3.0,0.0,1.0,7.0,2.0,0.0,3.0,7.0,1.0,0.0,4.0,2.0,3.0,17.0,5.0,1.0,1.0,1.0
A0A075B6I9,6.0,2.0,0.0,2.0,2.0,9.0,1.0,0.0,3.0,7.0,1.0,2.0,7.0,3.0,2.0,11.0,9.0,2.0,1.0,1.0
A0A075B6J1,3.0,1.0,3.0,2.0,0.0,7.0,1.0,0.0,3.0,7.0,1.0,3.0,9.0,3.0,2.0,20.0,5.0,1.0,2.0,0.0
A0A075B6J2,5.0,0.0,4.0,1.0,2.0,7.0,0.0,0.0,2.0,7.0,1.0,2.0,4.0,3.0,3.0,17.0,10.0,0.0,2.0,3.0
