Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
1,P04406,G3P_HUMAN,reviewed,"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)","GAPDH GAPD CDABP0047 OK/SW-cl.12","Homo sapiens (Human)",410
2,P06733,ENOA_HUMAN,reviewed,"Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)","ENO1 ENO1L1 MBPB1 MPB1","Homo sapiens (Human)",402
3,P14618,KPYM_HUMAN,reviewed,"Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)","PKM OIP3 PK2 PK3 PKM2","Homo sapiens (Human)",394
4,P11142,HSP7C_HUMAN,reviewed,"Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)","HSPA8 HSC70 HSP73 HSPA10","Homo sapiens (Human)",392
5,P07355,ANXA2_HUMAN,reviewed,"Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)","ANXA2 ANX2 ANX2L4 CAL1H LPC2D","Homo sapiens (Human)",380
6,P63104,1433Z_HUMAN,reviewed,"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)",YWHAZ,"Homo sapiens (Human)",376
7,P00338,LDHA_HUMAN,reviewed,"L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)","LDHA PIG19","Homo sapiens (Human)",370
8,P62258,1433E_HUMAN,reviewed,"14-3-3 protein epsilon (14-3-3E)",YWHAE,"Homo sapiens (Human)",366
9,P07195,LDHB_HUMAN,reviewed,"L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)",LDHB,"Homo sapiens (Human)",363
10,P07737,PROF1_HUMAN,reviewed,"Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)",PFN1,"Homo sapiens (Human)",361
11,P08758,ANXA5_HUMAN,reviewed,"Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)","ANXA5 ANX5 ENX2 PP4","Homo sapiens (Human)",359
12,P04075,ALDOA_HUMAN,reviewed,"Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)","ALDOA ALDA","Homo sapiens (Human)",359
13,Q06830,PRDX1_HUMAN,reviewed,"Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)","PRDX1 PAGA PAGB TDPX2","Homo sapiens (Human)",356
14,P62937,PPIA_HUMAN,reviewed,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]","PPIA CYPA","Homo sapiens (Human)",353
15,P23528,COF1_HUMAN,reviewed,"Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)","CFL1 CFL","Homo sapiens (Human)",351
16,P00558,PGK1_HUMAN,reviewed,"Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)","PGK1 PGKA MIG10 OK/SW-cl.110","Homo sapiens (Human)",349
17,P60709,ACTB_HUMAN,reviewed,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB,"Homo sapiens (Human)",348
20,Q00610,CLH1_HUMAN,reviewed,"Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)","CLTC CLH17 CLTCL2 KIAA0034","Homo sapiens (Human)",347
19,P26038,MOES_HUMAN,reviewed,"Moesin (Membrane-organizing extension spike protein)",MSN,"Homo sapiens (Human)",347
18,P60174,TPIS_HUMAN,reviewed,"Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)","TPI1 TPI","Homo sapiens (Human)",347
21,P62805,H4_HUMAN,reviewed,"Histone H4","HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4","Homo sapiens (Human)",346
22,P07900,HS90A_HUMAN,reviewed,"Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)","HSP90AA1 HSP90A HSPC1 HSPCA","Homo sapiens (Human)",344
23,P08238,HS90B_HUMAN,reviewed,"Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)","HSP90AB1 HSP90B HSPC2 HSPCB","Homo sapiens (Human)",343
24,P04264,K2C1_HUMAN,reviewed,"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)","KRT1 KRTA","Homo sapiens (Human)",339
25,P31946,1433B_HUMAN,reviewed,"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",YWHAB,"Homo sapiens (Human)",338
26,Q8WUM4,PDC6I_HUMAN,reviewed,"Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)","PDCD6IP AIP1 ALIX KIAA1375","Homo sapiens (Human)",337
27,O00299,CLIC1_HUMAN,reviewed,"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)","CLIC1 G6 NCC27","Homo sapiens (Human)",333
28,Q08380,LG3BP_HUMAN,reviewed,"Galectin-3-binding protein (Basement membrane autoantigen p105) (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (MAC2BP) (Mac-2 BP) (Tumor-associated antigen 90K)","LGALS3BP M2BP","Homo sapiens (Human)",333
30,P11021,GRP78_HUMAN,reviewed,"78 kDa glucose-regulated protein (GRP-78) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP)","HSPA5 GRP78","Homo sapiens (Human)",332
29,P02751,FINC_HUMAN,reviewed,"Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]","FN1 FN","Homo sapiens (Human)",332
32,P35579,MYH9_HUMAN,reviewed,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",MYH9,"Homo sapiens (Human)",332
31,P07437,TBB5_HUMAN,reviewed,"Tubulin beta chain (Tubulin beta-5 chain)","TUBB TUBB5 OK/SW-cl.56","Homo sapiens (Human)",332
33,P68104,EF1A1_HUMAN,reviewed,"Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)","EEF1A1 EEF1A EF1A LENG7","Homo sapiens (Human)",331
34,P55072,TERA_HUMAN,reviewed,"Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)",VCP,"Homo sapiens (Human)",331
35,P13639,EF2_HUMAN,reviewed,"Elongation factor 2 (EF-2)","EEF2 EF2","Homo sapiens (Human)",326
36,P15311,EZRI_HUMAN,reviewed,"Ezrin (Cytovillin) (Villin-2) (p81)","EZR VIL2","Homo sapiens (Human)",324
37,P27348,1433T_HUMAN,reviewed,"14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)",YWHAQ,"Homo sapiens (Human)",322
38,P05023,AT1A1_HUMAN,reviewed,"Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)",ATP1A1,"Homo sapiens (Human)",322
39,P35908,K22E_HUMAN,reviewed,"Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)","KRT2 KRT2A KRT2E","Homo sapiens (Human)",321
40,P61981,1433G_HUMAN,reviewed,"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",YWHAG,"Homo sapiens (Human)",319
43,P05556,ITB1_HUMAN,reviewed,"Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)","ITGB1 FNRB MDF2 MSK12","Homo sapiens (Human)",314
42,P51149,RAB7A_HUMAN,reviewed,"Ras-related protein Rab-7a","RAB7A RAB7","Homo sapiens (Human)",314
41,O00560,SDCB1_HUMAN,reviewed,"Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)","SDCBP MDA9 SYCL","Homo sapiens (Human)",314
44,P35527,K1C9_HUMAN,reviewed,"Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)",KRT9,"Homo sapiens (Human)",310
46,P08195,4F2_HUMAN,reviewed,"4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)","SLC3A2 MDU1","Homo sapiens (Human)",309
45,P49327,FAS_HUMAN,reviewed,"Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]","FASN FAS","Homo sapiens (Human)",309
47,P04083,ANXA1_HUMAN,reviewed,"Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)","ANXA1 ANX1 LPC1","Homo sapiens (Human)",308
49,P62873,GBB1_HUMAN,reviewed,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)",GNB1,"Homo sapiens (Human)",308
48,P30041,PRDX6_HUMAN,reviewed,"Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Liver 2D page spot 40) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9) (Red blood cells page spot 12)","PRDX6 AOP2 KIAA0106","Homo sapiens (Human)",308
50,O43707,ACTN4_HUMAN,reviewed,"Alpha-actinin-4 (Non-muscle alpha-actinin 4)",ACTN4,"Homo sapiens (Human)",307
51,P02768,ALBU_HUMAN,reviewed,"Serum albumin","ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341","Homo sapiens (Human)",306
52,Q9Y490,TLN1_HUMAN,reviewed,Talin-1,"TLN1 KIAA1027 TLN","Homo sapiens (Human)",306
53,P51148,RAB5C_HUMAN,reviewed,"Ras-related protein Rab-5C (L1880) (RAB5L)","RAB5C RABL","Homo sapiens (Human)",303
54,P61224,RAP1B_HUMAN,reviewed,"Ras-related protein Rap-1b (GTP-binding protein smg p21B)","RAP1B OK/SW-cl.11","Homo sapiens (Human)",302
55,P61026,RAB10_HUMAN,reviewed,"Ras-related protein Rab-10",RAB10,"Homo sapiens (Human)",301
56,P23526,SAHH_HUMAN,reviewed,"Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)","AHCY SAHH","Homo sapiens (Human)",300
57,P27105,STOM_HUMAN,reviewed,"Erythrocyte band 7 integral membrane protein (Protein 7.2b) (Stomatin)","STOM BND7 EPB72","Homo sapiens (Human)",300
