ID,PTM_count,Phosphorylation_MSD,Glycosylation_MSD,Ubiquitination_MSD,SUMOylation_MSD,Acetyllysine_MSD,Palmitoylation_MSD,Hydroxylation_MSD,Methylation_MSD,Pyrrolidone_carboxylic_acid_MSD
Q96R72,7,1,1,0,0,1,0,0,0,1
Q9UKL2,5,0,1,0,1,0,1,0,0,1
Q9H205,6,1,1,0,0,1,0,0,0,0
Q8NGN2,14,1,1,0,0,0,1,1,0,1
Q8NGC1,6,1,1,0,0,0,1,1,0,1
O60502,54,1,1,1,1,1,0,1,1,1
Q8NGX2,4,1,1,1,0,0,0,0,0,0
A6NGY5,2,0,1,0,0,0,0,0,0,1
Q8NGE3,5,1,1,0,0,0,0,0,0,1
Q6IF63,4,1,1,1,1,0,0,0,0,0
Q9BXB4,41,1,1,1,1,1,0,1,1,1
Q9UJX0,21,1,1,1,0,0,0,0,0,0
Q6A1A2,26,1,1,1,1,1,1,0,0,0
Q96S52,16,1,1,1,1,0,0,0,1,1
P13686,6,1,1,1,0,0,0,0,1,0
P17980,18,1,1,1,0,0,0,1,0,0
Q5THK1,160,1,1,1,1,1,1,1,1,1
P0CG20,51,1,1,1,1,0,1,1,1,0
Q9ULL5,268,1,1,1,1,1,1,1,1,1
Q6NWY9,72,1,1,1,1,1,0,1,1,1
Q5TYX0,14,1,1,0,0,0,1,0,0,0
Q5VTA0,17,1,1,1,0,1,1,1,0,1
Q00LT1,6,1,0,0,0,0,1,0,0,0
Q9UMR5,10,0,1,1,0,1,1,0,0,0
P0DJ07,5,1,0,1,1,0,0,0,0,1
Q8WV60,19,1,1,0,1,1,0,0,0,0
Q96EY7,21,1,1,1,0,1,1,0,0,1
Q7RTS3,39,1,1,1,0,0,0,1,1,0
P20962,12,1,0,1,1,1,0,0,0,1
Q92530,23,1,1,0,1,0,0,1,1,1
O14957,1,0,0,0,1,0,0,0,0,0
Q6ZRP7,27,1,1,1,0,1,0,1,1,1
Q8TBF2,13,1,1,1,0,1,1,1,0,0
Q86YV0,76,1,1,1,1,1,1,1,1,1
Q8NFJ5,17,1,1,1,1,1,1,1,0,1
Q14206,20,1,1,1,1,0,0,1,0,0
Q9Y2P8,15,1,1,0,1,1,0,0,1,1
A4D1S5,4,1,0,0,0,0,1,1,0,1
P61106,14,1,1,1,0,0,1,1,1,0
O95716,15,1,1,1,0,1,1,1,1,0
Q8N4Z0,10,1,1,1,0,0,1,1,0,0
P49795,37,1,1,1,0,0,1,1,1,1
Q7L0Q8,15,1,1,1,0,0,1,1,1,1
Q9BQ08,9,1,0,0,0,0,1,1,0,1
Q9HB40,13,1,1,1,0,1,1,0,0,0
Q8NHV9,4,1,0,0,0,1,1,0,0,1
P07949,73,1,1,1,1,1,1,1,1,0
Q8TAC1,8,1,1,1,0,0,0,0,0,1
Q9UJD0,31,1,1,1,0,0,1,1,0,1
P50914,17,1,0,1,1,1,0,1,1,0
Q969Q0,7,1,0,1,0,1,1,1,0,0
Q9NSD7,27,1,1,1,0,1,0,1,1,1
Q9HCK4,85,1,1,1,1,1,0,1,1,1
Q9H1D9,12,1,1,1,1,0,0,0,1,0
P35372,22,1,1,0,0,0,1,1,0,1
O14581,11,1,1,0,0,1,0,0,0,0
Q99489,9,1,1,1,1,0,0,1,1,1
Q8NGM8,3,0,1,0,0,0,0,0,0,0
Q9GZK6,4,1,1,0,0,0,0,0,1,1
Q149M9,50,1,1,1,1,1,1,1,1,1
Q8NGE7,5,0,1,0,0,1,0,0,1,0
Q6N063,12,1,1,1,0,0,1,1,1,1
O95158,21,1,1,1,0,1,0,1,1,1
A6NMZ5,1,0,1,0,0,0,0,0,0,0
Q8NGL6,9,1,1,0,0,1,0,0,0,1
Q8NGC8,4,0,1,0,0,1,1,0,0,0
Q06190,76,1,1,1,1,1,1,1,1,1
A6NJZ3,6,1,1,1,0,0,0,0,0,1
Q3SX64,46,1,1,1,0,0,1,1,1,0
P00480,19,1,1,1,0,1,0,0,0,0
Q9NVV4,27,1,1,1,0,1,1,0,0,0
Q9NPH6,10,1,0,0,0,1,0,0,1,0
Q8NDF8,53,1,1,1,1,1,1,1,1,0
P0DN37,15,1,1,1,1,1,0,0,1,0
O15381,60,1,1,1,1,1,0,0,1,1
A8MZH6,2,0,0,0,0,0,1,0,0,0
Q8NGH7,2,0,1,0,0,0,0,0,0,1
O95340,24,1,1,1,1,1,0,1,1,1
Q6ZVX9,12,1,1,1,0,0,1,1,1,0
P57723,24,1,1,1,0,0,0,0,1,1
Q8TEZ7,8,1,0,0,0,0,1,1,0,0
Q460N5,76,1,1,1,1,1,0,0,0,1
Q96QU1,153,1,1,1,1,1,0,1,1,1
Q6P474,11,1,0,1,1,1,0,0,0,0
P13667,33,1,1,1,1,1,0,0,1,0
P09466,7,0,1,1,0,0,1,0,0,1
Q13087,15,1,1,1,1,0,1,0,0,1
Q15084,23,1,1,1,0,1,0,0,1,0
Q53GL7,45,1,1,1,0,0,0,1,1,1
Q5MIZ7,46,1,1,1,1,1,0,1,0,0
A4QPH2,30,1,1,1,0,1,0,1,1,1
Q92561,14,1,1,0,1,1,1,1,1,0
