Entry	Mass
Q96IC2	86,886
P04217	54,254
Q9NQ94	65,202
Q9BVM4	17,329
P01023	163,291
A8K2U0	161,107
Q9NPC4	40,499
Q9UNA3	39,497
Q9NRG9	59,574
Q86V21	75,144
P22760	45,734
Q5VUY0	46,155
Q5VUY2	46,082
Q8N5Z0	47,352
Q6PD74	34,594
Q2M2I8	103,885
Q13685	46,751
Q16613	23,344
Q4LEZ3	17,575
P49588	106,810
Q5JTZ9	107,340
Q9BTE6	45,480
Q4L235	122,597
Q9NRN7	35,776
Q9UDR5	102,132
Q7Z4T9	89,955
Q9NY61	63,133
Q6ZMQ8	144,569
P80404	56,439
O95477	254,302
Q8WWZ4	175,790
Q86UK0	293,237
Q86UQ4	576,159
Q9BZC7	269,833
Q99758	191,362
P78363	255,944
Q8WWZ7	186,508
Q8N139	184,286
Q8IZY2	234,350
O94911	183,677
Q8IUA7	184,362
P08183	141,479
Q9NRK6	79,148
O95342	146,407
P21439	141,523
Q2M3G0	138,641
Q9NP58	93,886
O75027	82,641
Q9NUT2	79,989
Q9NP78	84,475
P33527	171,591
Q5T3U5	161,629
Q96J66	154,301
Q96J65	152,297
Q92887	174,207
O15438	169,343
O15439	149,527
O15440	160,660
O95255	164,906
Q09428	176,992
O60706	174,223
P33897	82,937
Q9UBJ2	83,233
P28288	75,476
O14678	68,597
P61221	67,314
Q8NE71	95,926
Q9UG63	71,290
Q9NUQ8	79,745
P45844	75,592
Q9UNQ0	72,314
Q9H172	71,896
Q9H222	72,504
Q9H221	75,679
Q96SE0	45,207
Q9NUJ1	33,933
Q8NFV4	34,690
Q8N2K0	45,097
Q7Z5M8	40,776
Q7L211	38,548
Q9BUJ0	29,765
Q96IU4	22,346
Q6UXT9	51,771
O95870	63,243
Q9H3Z7	52,555
P08910	48,315
Q8WU67	46,009
Q8TB40	38,794
Q8WTS1	39,096
Q9BV23	38,331
Q96I13	47,331
Q8IZP0	55,081
Q9NYB9	55,663
Q9P2A4	39,035
Q7Z7G0	118,642
P00519	122,873
P42684	128,343
O14639	87,688
Q6H8Q1	67,812
O94929	77,802
P16442	40,934
P19801	85,378
Q12979	97,598
Q8N0Z2	43,117
Q9P1F3	9,056
Q9ULW3	31,079
Q969K4	53,979
Q8N961	113,656
P09110	44,292
P42765	41,924
Q13085	265,554
O00763	276,541
Q6JQN1	118,834
Q709F0	87,264
Q9UKU7	45,070
Q9H845	68,760
P28330	47,656
P11310	46,588
P16219	44,297
P45954	47,485
P49748	70,390
P16112	261,329
Q15027	81,536
Q15057	88,029
Q96P50	92,495
P24752	45,200
Q9BWD1	41,351
Q9H3P7	60,593
Q8NC06	30,308
Q5T8D3	60,092
Q9BR61	31,151
Q8N6N7	9,790
Q96QU6	57,324
Q4AC99	65,249
P12821	149,715
Q9BYF1	92,463
Q5QJU3	31,309
P22303	67,796
Q9UKV3	151,862
P53396	120,839
Q8TDX5	38,035
Q9NRP4	14,652
P21399	98,399
Q99798	85,425
Q86TX2	46,277
Q8WXI4	68,492
Q8WYK0	62,034
Q9NPJ3	14,960
P49753	53,218
Q8N9L9	46,327
Q3I5F7	22,991
O00154	41,796
Q6ZUV0	28,164
O14734	35,914
Q9Y305	49,902
Q15067	74,424
Q99424	76,827
O15254	77,629
Q9NUZ1	61,795
P24666	18,042
P11117	48,344
P13686	36,599
Q9NPH0	48,886
Q8TE99	55,240
P15309	44,566
Q9BZG2	46,090
P10323	45,847
Q8NEB7	61,359
Q96QF7	76,112
P26436	28,156
Q96GR2	81,290
Q5FVE4	74,354
Q96CM8	68,125
Q4G176	64,130
P33121	77,943
O95573	80,420
O60488	79,188
Q9ULC5	75,991
Q9UKU0	77,752
Q08AH1	65,273
Q08AH3	64,223
Q68CK6	64,271
Q53FZ2	66,153
P0C7M7	65,703
Q6NUN0	64,760
Q6P461	53,585
Q9NUB1	74,857
Q9NR19	78,580
Q9H6R3	74,778
P68133	42,051
P62736	42,009
P60709	41,737
Q562R1	42,003
P63261	41,793
P63267	41,877
Q5JWF8	26,751
O96019	47,461
O94805	46,877
Q9Y615	48,644
Q9Y614	45,234
Q9H568	41,360
Q8TC94	45,627
P12814	103,058
P35609	103,854
Q08043	103,241
O43707	104,854
Q9NZ32	46,307
