ID,PTM_count,Phosphorylation,Glycosylation,Ubiquitination,SUMOylation,Acetyllysine,Palmitoylation,Hydroxylation,Methylation,Pyrrolidone_carboxylic_acid
Q96R72,7,2,1,0,0,2,0,0,0,2
Q9UKL2,5,0,1,0,1,0,1,0,0,2
Q9H205,6,3,2,0,0,1,0,0,0,0
Q8NGN2,14,3,3,0,0,0,2,4,0,2
Q8NGC1,6,1,2,0,0,0,1,1,0,1
O60502,54,24,10,4,2,7,0,5,1,1
Q8NGX2,4,2,1,1,0,0,0,0,0,0
A6NGY5,2,0,1,0,0,0,0,0,0,1
Q8NGE3,5,2,1,0,0,0,0,0,0,2
Q6IF63,4,1,1,1,1,0,0,0,0,0
Q9BXB4,41,20,5,6,1,2,0,2,2,3
Q9UJX0,21,15,4,2,0,0,0,0,0,0
Q6A1A2,26,15,4,3,1,2,1,0,0,0
Q96S52,16,6,2,3,2,0,0,0,1,2
P13686,6,1,2,2,0,0,0,0,1,0
P17980,18,8,2,7,0,0,0,1,0,0
Q5THK1,160,97,34,14,3,6,1,2,1,2
P0CG20,51,25,8,7,1,0,1,8,1,0
Q9ULL5,268,87,40,26,3,2,1,93,13,3
Q6NWY9,72,33,12,5,2,1,0,14,1,4
Q5TYX0,14,3,4,0,0,0,7,0,0,0
Q5VTA0,17,4,4,2,0,1,3,2,0,1
Q00LT1,6,5,0,0,0,0,1,0,0,0
Q9UMR5,10,0,5,2,0,1,2,0,0,0
P0DJ07,5,1,0,1,2,0,0,0,0,1
Q8WV60,19,7,3,0,2,7,0,0,0,0
Q96EY7,21,12,1,3,0,3,1,0,0,1
Q7RTS3,39,20,1,2,0,0,0,12,4,0
P20962,12,6,0,2,1,2,0,0,0,1
Q92530,23,6,4,0,1,0,0,7,3,2
O14957,1,0,0,0,1,0,0,0,0,0
Q6ZRP7,27,13,5,1,0,3,0,1,3,1
Q8TBF2,13,4,1,3,0,2,1,2,0,0
Q86YV0,76,42,11,7,1,2,1,4,6,2
Q8NFJ5,17,6,1,1,1,3,1,2,0,2
Q14206,20,7,4,3,1,0,0,5,0,0
