CONTENT ID;CONTENT TYPE;ENTREZ GENE ID;GENE SYMBOL;SPECIES;EXPERIMENT ID;METHODS
4;protein;16409;Itgam;Mus musculus;3;Mass spectrometry|Western blotting
5;protein;17304;Mfge8;Mus musculus;3;Mass spectrometry
6;protein;15481;Hspa8;Mus musculus;3;Mass spectrometry|Western blotting
7;protein;11461;Actb;Mus musculus;3;Mass spectrometry
8;protein;14678;Gnai2;Mus musculus;3;Mass spectrometry
9;protein;12306;Anxa2;Mus musculus;3;Mass spectrometry|Western blotting
10;protein;14961;H2-Ab1;Mus musculus;3;Mass spectrometry|Western blotting
11;protein;12527;Cd9;Mus musculus;3;Mass spectrometry|Western blotting
12;protein;15516;Hsp90ab1;Mus musculus;3;Western blotting
13;protein;967;CD63;Homo sapiens;4;Western blotting
14;protein;1803;DPP4;Homo sapiens;4;Western blotting
15;protein;79574;EPS8L3;Homo sapiens;4;Mass spectrometry
16;protein;55971;BAIAP2L1;Homo sapiens;4;Mass spectrometry
17;protein;56667;MUC13;Homo sapiens;4;Mass spectrometry
18;protein;5738;PTGFRN;Homo sapiens;4;Mass spectrometry
19;protein;3939;LDHA;Homo sapiens;4;Mass spectrometry
20;protein;5230;PGK 1,00;Homo sapiens;4;Mass spectrometry
21;protein;3122;HLA-DRA;Homo sapiens;4;Mass spectrometry
22;protein;60;ACTB;Homo sapiens;4;Mass spectrometry
23;protein;3848;KRT1;Homo sapiens;4;Mass spectrometry
24;protein;2597;GAPDH;Homo sapiens;4;Mass spectrometry
25;protein;10383;TUBB4B;Homo sapiens;4;Mass spectrometry
26;protein;3105;HLA-A;Homo sapiens;4;Mass spectrometry
27;protein;2023;ENO1;Homo sapiens;4;Mass spectrometry
28;protein;3320;HSP90AA1;Homo sapiens;4;Mass spectrometry
29;protein;1152;CKB;Homo sapiens;4;Mass spectrometry
30;protein;3858;KRT10;Homo sapiens;4;Mass spectrometry
31;protein;5315;PKM;Homo sapiens;4;Mass spectrometry
32;protein;4072;EPCAM;Homo sapiens;4;Mass spectrometry
33;protein;1800;DPEP1;Homo sapiens;4;Mass spectrometry
34;protein;1803;DPP4;Homo sapiens;4;Mass spectrometry
35;protein;3857;KRT9;Homo sapiens;4;Mass spectrometry
36;protein;2059;EPS8;Homo sapiens;4;Mass spectrometry
37;protein;6809;STX3;Homo sapiens;4;Mass spectrometry
38;protein;6813;STXBP2;Homo sapiens;4;Mass spectrometry
39;protein;4224;MEP1A;Homo sapiens;4;Mass spectrometry
40;protein;10223;GPA33;Homo sapiens;4;Mass spectrometry
41;protein;12524;Cd86;Mus musculus;5;ELISA
42;protein;21939;Cd40;Mus musculus;5;ELISA
43;protein;21947;Cd40lg;Mus musculus;5;ELISA
44;protein;16414;Itgb2;Mus musculus;5;ELISA
45;protein;15894;Icam1;Mus musculus;5;ELISA
46;protein;16790;Anpep;Mus musculus;5;Mass spectrometry
47;protein;20111;Rps6ka1;Mus musculus;5;Mass spectrometry
48;protein;11749;Anxa6;Mus musculus;5;Mass spectrometry
49;protein;12532;Cdc25c;Mus musculus;5;Mass spectrometry
50;protein;11465;Actg1;Mus musculus;5;Mass spectrometry
51;protein;11461;Actb;Mus musculus;5;Mass spectrometry
52;protein;12524;Cd86;Mus musculus;6;Western blotting
53;protein;15894;Icam1;Mus musculus;6;Western blotting
54;protein;16414;Itgb2;Mus musculus;6;Western blotting
55;protein;15510;Hspd1;Mus musculus;7;Western blotting
56;protein;15481;Hspa8;Mus musculus;7;Western blotting
57;protein;15481;Hspa8;Mus musculus;8;Western blotting
